half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,390,408.16425228075127,2189.220274530351,430.52497030934506,2167.9294198032626,117.15141118282722,241.29873464605484,100.69861607891875,315.8744432471776,218.01149672081078,179.46949014807998
H1,e,425,507.2766572194617,1932.0204148000323,508.0470050411198,1932.3822437191925,51.17317090218717,197.59202231879593,63.117907770282784,269.40921940339445,166.2706860294763,140.8578461385349
H1,a,468,690.0782583803028,1584.3287044393564,688.6388405881717,1593.9291146712947,76.74484940035876,170.42031397851258,93.27180467974733,183.57987565571148,153.12896837517852,123.62385651422838
H1,o,359,521.7600838102364,1072.565168816725,529.2795148951825,1100.7215630701567,53.616878609674664,230.48104034830166,66.56466835911056,322.7441811153826,196.4165965847092,172.39823867821212
H1,u,90,466.96584462867173,921.4454053874638,468.3807796261978,1030.4638761261613,64.48175235448015,282.66666439759734,61.63868933938443,259.5030216707994,211.85576541305358,120.37315825491412
H2,i,226,422.5906901092609,2136.0095339749737,431.4245760888987,2107.6188276380035,77.97451453976721,234.54561430505674,80.16596473573838,277.71925115841873,191.98863208411123,146.1867176633053
H2,e,330,516.8020761709822,1874.9356040875834,519.1812600398453,1873.518269767446,51.80709503836955,181.97457730164192,61.913321369988466,241.36795285352082,154.8891828703515,127.85126602414809
H2,a,349,698.997606495212,1516.9554137862394,690.7879292609936,1538.3235668152972,75.9710584698276,167.3929634512161,99.53335649229132,189.61568517553337,152.5702377251987,126.18740786053012
H2,o,355,536.1499787606992,1080.7015441467552,542.1083735299034,1106.6463952309452,59.9206410188694,199.51373388821304,70.35469298635456,268.0981486099125,169.06965179519597,141.91642128362943
H2,u,47,459.9113358361138,904.1163257463472,462.8802443994714,949.3679911775668,46.333644124473224,226.06023924967428,65.82055133968231,246.81878148615874,170.38356616831754,133.28970778389612
