half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,275.6356955440108,193.87490004531375,1.4217193431413109,True
H1,i,u,i-u,1269.1377963377013,214.95566757031423,5.904183921657023,True
H1,e,a,e-a,392.8179614535203,159.8349492263177,2.4576474879552856,True
H1,a,o,a-o,538.7327020736496,176.10786519852942,3.05910642586194,True
H1,o,u,o-u,160.74697989823133,204.28209019964424,0.7868872877751242,True
H2,i,e,i-e,277.552485361808,174.42805654448685,1.591214686789908,True
H2,i,u,i-u,1232.4583997349716,181.50784345278532,6.790110974215638,True
H2,e,a,e-a,401.6777662733075,153.73408276919082,2.612808812710502,True
H2,a,o,a-o,465.6573725757841,161.03140159247272,2.89171781385992,True
H2,o,u,o-u,192.3399855269367,169.72788041212064,1.1332256377674135,True
