half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,275.6356955440108,193.87490004531375,1.4217193431413109,True
H1,i,a,i-a,667.3599616415767,188.38457163219937,3.542540431307322,False
H1,i,o,i-o,1122.4182099632849,207.49517116835332,5.409370269405447,False
H1,i,u,i-u,1269.1377963377013,214.95566757031423,5.904183921657023,True
H1,e,a,e-a,392.8179614535203,159.8349492263177,2.4576474879552856,True
H1,e,o,e-o,859.5772737189122,181.9689814867263,4.723757129901911,False
H1,e,u,e-u,1011.3786685811318,190.432148508942,5.310966013354837,False
H1,a,o,a-o,538.7327020736496,176.10786519852942,3.05910642586194,True
H1,a,u,a-u,699.4236322372872,184.8395876082789,3.78394932215246,False
H1,o,u,o-u,160.74697989823133,204.28209019964424,0.7868872877751242,True
H2,i,e,i-e,277.552485361808,174.42805654448685,1.591214686789908,True
H2,i,a,i-a,677.9592813352717,173.40316071088765,3.9097285110369038,False
H2,i,o,i-o,1061.4003323130703,180.89248465273099,5.867575617365738,False
H2,i,u,i-u,1232.4583997349716,181.50784345278532,6.790110974215638,True
H2,e,a,e-a,401.6777662733075,153.73408276919082,2.612808812710502,True
H2,e,o,e-o,794.4696868381527,162.1345215066705,4.900064955047015,False
H2,e,u,e-u,972.4847698215372,162.82078889146592,5.972730978903327,False
H2,a,o,a-o,465.6573725757841,161.03140159247272,2.89171781385992,True
H2,a,u,a-u,657.8251991579848,161.72235012476952,4.067620824520975,False
H2,o,u,o-u,192.3399855269367,169.72788041212064,1.1332256377674135,True
