audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
061ea7d0-Audio_SP16,H1,i,e,161630.09517406806,86116.90698504575,43272.979595332596,204474.0225637812,26.772847933257495,50.24911032028469,21.16306954436451
061ea7d0-Audio_SP16,H1,i,a,161630.09517406806,118165.5744155125,0.0,279795.66958958056,0.0,0.0,0.0
061ea7d0-Audio_SP16,H1,i,o,161630.09517406806,114273.45797882181,0.0,275903.5531528899,0.0,0.0,0.0
061ea7d0-Audio_SP16,H1,i,u,161630.09517406806,119284.17480873462,0.0,280914.2699828027,0.0,0.0,0.0
061ea7d0-Audio_SP16,H1,e,a,86116.90698504575,118165.5744155125,3715.89856652555,200566.58283403268,4.314946619217081,3.1446540880503147,1.8527007410802963
061ea7d0-Audio_SP16,H1,e,o,86116.90698504575,114273.45797882181,0.0,200390.36496386756,0.0,0.0,0.0
061ea7d0-Audio_SP16,H1,e,u,86116.90698504575,119284.17480873462,0.0,205401.08179378035,0.0,0.0,0.0
061ea7d0-Audio_SP16,H1,a,o,118165.5744155125,114273.45797882181,0.0,232439.03239433432,0.0,0.0,0.0
061ea7d0-Audio_SP16,H1,a,u,118165.5744155125,119284.17480873462,0.0,237449.74922424712,0.0,0.0,0.0
061ea7d0-Audio_SP16,H1,o,u,114273.45797882181,119284.17480873462,67629.35391076501,165928.27887679142,59.18203151190078,56.695998458475174,40.758184420741564
061ea7d0-Audio_SP16,H2,i,e,126452.64751737815,77238.22552825816,31776.99151312989,171913.8815325064,25.129558089135966,41.14153490165831,18.48424992202932
061ea7d0-Audio_SP16,H2,i,a,126452.64751737815,115794.78515948738,0.0,242247.43267686552,0.0,0.0,0.0
061ea7d0-Audio_SP16,H2,i,o,126452.64751737815,115067.97732960327,0.0,241520.6248469814,0.0,0.0,0.0
061ea7d0-Audio_SP16,H2,i,u,126452.64751737815,92036.50953999694,0.0,218489.1570573751,0.0,0.0,0.0
061ea7d0-Audio_SP16,H2,e,a,77238.22552825816,115794.78515948738,2537.8699633658293,190495.14072437971,3.2857693790975704,2.1916962494212067,1.3322491868901676
061ea7d0-Audio_SP16,H2,e,o,77238.22552825816,115067.97732960327,0.0,192306.2028578614,0.0,0.0,0.0
061ea7d0-Audio_SP16,H2,e,u,77238.22552825816,92036.50953999694,0.0,169274.7350682551,0.0,0.0,0.0
061ea7d0-Audio_SP16,H2,a,o,115794.78515948738,115067.97732960327,0.0,230862.76248909064,0.0,0.0,0.0
061ea7d0-Audio_SP16,H2,a,u,115794.78515948738,92036.50953999694,0.0,207831.2946994843,0.0,0.0,0.0
061ea7d0-Audio_SP16,H2,o,u,115067.97732960327,92036.50953999694,43983.788590445816,163120.6982791544,38.22417809992234,47.789500938572075,26.96395310616851
