half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,306,423.29429166173907,2072.9722787067894,453.56979836218267,1995.3111705120803,154.56568157792344,322.75742366500685,146.54771347126564,392.768121399597,290.61309504559597,238.95908003897273
H1,e,552,553.1292533846056,1894.9138527924915,556.5876724279532,1888.8090536062984,74.68992311433175,154.9464840146429,92.95270632920506,193.18799525637405,142.63484765347354,116.55913682593913
H1,a,473,699.4953012432958,1544.2451163163812,700.0495822090685,1558.0186206594944,61.86782845748243,147.51517929854217,79.63325668416871,166.97106858970233,128.7503526207112,103.55399523584522
H1,o,443,588.8501934244882,1176.1335794661904,593.1295708035519,1182.727066887763,70.03075591639124,200.9554038195512,91.49778996558439,255.37813370248296,176.42562505205777,148.53588601684888
H1,u,60,480.85714488952453,1033.821520976735,509.0965562757316,1102.1215809818716,157.32714637758588,281.2257504682954,165.0672363670913,422.4439862675289,272.95069070776566,207.78334042171906
H2,i,257,444.00256725736335,2078.177124594362,480.5335459156574,2024.9536677860137,181.73464351383728,301.46160315413425,202.2792143401681,360.8970162871358,293.78843420509685,243.21417070642477
H2,e,527,567.0672862774679,1907.0375708222628,570.4037122967337,1885.6485756160112,84.46855786260416,167.32493247006306,86.25977475911418,188.69429551655753,150.63986358717383,123.97236237255855
H2,a,515,701.5119038611318,1534.9368563773928,701.0649173918397,1531.006580012883,65.60633297715948,145.25557925935203,78.21517016318751,156.63258442423944,128.7641145903576,99.86673153090885
H2,o,419,614.0585310681354,1200.8401580142108,613.895195424826,1208.107112111424,76.21518178763858,201.39122600826275,90.33350878151577,250.18132850819075,175.77573811282454,143.74067031946012
H2,u,46,495.6530995871731,1155.2545367150342,525.3585701558789,1185.784686615261,175.38388321541768,372.5491940264398,162.10372653088916,564.5057533804991,338.95476598454803,308.4080690648865
