half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,220.3676934685657,228.9111954198726,0.9626776578767313,True
H1,i,a,i-a,596.5227656538218,224.75834168272607,2.6540628534085147,False
H1,i,o,i-o,911.9914522976883,240.39755841833116,3.793680178359689,False
H1,i,u,i-u,1040.743858671609,281.9202463196169,3.6916251041143853,True
H1,e,a,e-a,379.9889244537584,135.87007224750982,2.796708047387696,True
H1,e,o,e-o,719.6673307024329,160.42241261765588,4.486077219257749,False
H1,e,u,e-u,864.1199347186835,217.76912008245793,3.9680554083677513,False
H1,a,o,a-o,384.38059712535556,154.43874914503607,2.4888870134811643,True
H1,a,u,a-u,555.2791100817922,213.3995464589883,2.6020632156709254,False
H1,o,u,o-u,178.64831519883197,229.81305525671908,0.7773636488983094,True
H2,i,e,i-e,210.7929598748746,233.45664755393545,0.9029212150670293,True
H2,i,a,i-a,601.1830398893148,226.81693199463885,2.650520993307169,False
H2,i,o,i-o,893.6661478178927,242.08340936729928,3.6915629623423896,False
H2,i,u,i-u,924.3667457821209,317.1765891867827,2.9143599411045087,True
H2,e,a,e-a,395.644154370566,140.12952170724247,2.8234175750427717,True
H2,e,o,e-o,707.7591136423201,163.6909872452827,4.3237512678800005,False
H2,e,u,e-u,755.1673433300109,262.28105334278536,2.879229489531801,False
H2,a,o,a-o,345.35300240485793,154.0735332809419,2.2414816811861633,True
H2,a,u,a-u,431.89872789960094,256.3888946404256,1.6845453798040682,False
H2,o,u,o-u,126.87748056067636,269.988373354065,0.4699368309252642,True
