half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,453,363.41487110472497,2236.8208526208805,377.6738842873989,2201.2211222787487,81.6592580112307,230.07778703935108,68.09303377128202,232.98558730179184,180.8128838330367,127.51015629926918
H1,e,459,444.1724998229144,1917.6036618878911,449.0631836883467,1923.0652421067216,45.079119229276955,193.06604286842747,48.81053592938076,259.34421801026974,162.38784462532072,136.68870585953078
H1,a,433,594.2093492417114,1547.1874128071424,606.9581571424841,1554.6453407552651,85.4606584586059,179.46499997617101,97.29276064017688,208.95573141454997,160.03146293213214,139.20195129672774
H1,o,479,469.9575625836316,1155.3672470547751,469.22049404136106,1133.8026082695073,46.753954008186206,269.8333850499055,53.71176165383986,496.8604119900567,244.51282706539348,256.28892022413544
H1,u,57,403.1577607606431,1048.5373331416647,441.2216001847365,1145.4608064734798,139.2524831927698,364.7000233581274,59.19274493123805,671.5574326589375,346.89592392100235,312.6358926770748
H2,i,382,359.4234441648126,2247.644283780426,373.52754206889864,2227.2716480847657,80.95901483165844,209.55842371337582,60.371979109327356,238.1305740318644,170.98946884272007,127.85448156951259
H2,e,450,439.3501661345099,1935.012717784113,444.2407850106988,1930.3918451147993,49.870664380618315,178.88918760794246,49.60376746517966,208.5799412739418,149.2939716992173,119.1860320000997
H2,a,418,600.6141611669775,1561.1734515672738,610.5363921731956,1577.568528100781,91.50178130261807,166.14590381022632,101.99262510239703,165.6366753124555,151.8329760515738,120.76185644586361
H2,o,439,460.6324046601016,1183.8283676089368,460.7238968258044,1143.2548434668533,58.32374642509417,305.92644306385796,58.295262244799915,553.0607224576702,276.65209190917597,276.7187797859828
H2,u,81,404.7246153153302,905.9772547283447,413.6024880011764,1082.5558043536676,71.9269091128655,402.62406534878926,63.331200636555764,659.2780948066577,338.5404946974426,223.6013744105124
