half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,341,364.9529969539991,2206.065075214421,399.0000607001422,2203.752181371026,123.40758074936905,275.26805049696225,123.62940930510553,269.6739470491275,229.15975059982472,169.46289045480012
H1,e,501,502.46893294674607,1920.851344498668,505.62086293414654,1945.6858453394314,61.11614728930734,347.6175473166917,72.94369993247773,448.054306823341,281.7482940201679,229.31510440808336
H1,a,650,605.1614992369165,777.7502998935499,605.768236458438,828.4754098939354,71.95238732611922,188.98100925457683,96.63028714893596,163.07747419105715,148.40532716395222,100.68425794734924
H1,o,424,507.1646887304064,937.0223721397492,512.7105524975534,933.7179268920156,66.92508606295662,178.9908942387582,73.28856944939275,220.92583811079987,155.98156509129558,133.0373862239778
H1,u,142,406.1416088638056,826.6638127404381,418.7966561776346,847.7169506982943,103.25578791485758,186.09662463944184,94.67431132665786,223.28321352596265,166.14785022962027,128.7043205826236
H2,i,357,369.534637282961,2137.1311995957617,393.1986192711103,2151.420749209224,110.71961536890669,242.71231904946688,112.88272244912531,260.0229851350987,206.51327538099065,154.36072768213148
H2,e,380,501.6621201895015,1916.1718441473495,507.3601790270805,1937.7395213623759,64.11318192360426,301.9474839196157,78.35997029125542,329.16623258306913,236.30637990264682,182.72225748120968
H2,a,525,616.7703486812242,775.5856306643136,616.7077325051571,856.3436734878925,82.68618850923863,225.99362314412733,107.32974284103682,171.7971951857345,173.7215767537835,108.66350090920471
H2,o,419,500.49369711305,933.7164227897952,503.1049706994796,946.2315033419902,54.72658546892902,191.27624233319014,62.12653417277022,227.4675502336354,155.96017264671116,129.25528898949972
H2,u,81,385.235256050126,814.7166760557062,401.4743911648363,868.8221607302295,81.72206595747873,258.01502790002706,74.86610084330192,240.3585207269041,195.38695812451095,141.00273585247027
