audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
0f786745-Audio_SP20,H1,i,e,200097.20646524822,197639.87235076271,56670.48905722749,341066.58975878346,28.321479374110957,28.673611444481782,16.615667074663403
0f786745-Audio_SP20,H1,i,a,200097.20646524822,67334.74984750435,0.0,267431.95631275256,0.0,0.0,0.0
0f786745-Audio_SP20,H1,i,o,200097.20646524822,100029.6276796165,0.0,300126.83414486476,0.0,0.0,0.0
0f786745-Audio_SP20,H1,i,u,200097.20646524822,107050.58229243223,0.0,307147.78875768045,0.0,0.0,0.0
0f786745-Audio_SP20,H1,e,a,197639.87235076271,67334.74984750435,0.0,264974.6221982671,0.0,0.0,0.0
0f786745-Audio_SP20,H1,e,o,197639.87235076271,100029.6276796165,0.0,297669.5000303792,0.0,0.0,0.0
0f786745-Audio_SP20,H1,e,u,197639.87235076271,107050.58229243223,0.0,304690.454643195,0.0,0.0,0.0
0f786745-Audio_SP20,H1,a,o,67334.74984750435,100029.6276796165,15408.14904217938,151956.22848494147,22.88290827110046,15.403585317272125,10.13986013986014
0f786745-Audio_SP20,H1,a,u,67334.74984750435,107050.58229243223,0.0,174385.33213993657,0.0,0.0,0.0
0f786745-Audio_SP20,H1,o,u,100029.6276796165,107050.58229243223,45882.88717240116,161197.32279964758,45.86929716399507,42.86094123903218,28.463802236609776
0f786745-Audio_SP20,H2,i,e,165785.88731063475,176616.398360542,53977.869587441026,288424.4160837357,32.558784383318546,30.56220718375846,18.714736540116668
0f786745-Audio_SP20,H2,i,a,165785.88731063475,64459.00931315773,0.0,230244.89662379248,0.0,0.0,0.0
0f786745-Audio_SP20,H2,i,o,165785.88731063475,85025.94752932288,0.0,250811.83483995762,0.0,0.0,0.0
0f786745-Audio_SP20,H2,i,u,165785.88731063475,97345.88369814777,0.0,263131.7710087825,0.0,0.0,0.0
0f786745-Audio_SP20,H2,e,a,176616.398360542,64459.00931315773,0.0,241075.40767369972,0.0,0.0,0.0
0f786745-Audio_SP20,H2,e,o,176616.398360542,85025.94752932288,0.0,261642.34588986487,0.0,0.0,0.0
0f786745-Audio_SP20,H2,e,u,176616.398360542,97345.88369814777,0.0,273962.2820586898,0.0,0.0,0.0
0f786745-Audio_SP20,H2,a,o,64459.00931315773,85025.94752932288,11814.267146970144,137670.68969551046,18.328341178148623,13.894896193771626,8.581541338319754
0f786745-Audio_SP20,H2,a,u,64459.00931315773,97345.88369814777,0.0,161804.8930113055,0.0,0.0,0.0
0f786745-Audio_SP20,H2,o,u,85025.94752932288,97345.88369814777,19224.616812696164,163147.21441477447,22.610294117647058,19.748772194937665,11.783601014370246
