half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,334,338.94242612621747,2127.937806868258,358.6130915537328,2091.221256497302,102.23290319890702,234.04416847860915,81.34075906682784,208.76369316001683,176.9807926311569,117.26325203590207
H1,e,432,431.6471192593867,1917.4270943761335,438.99295074847,1898.724007827275,68.75919018144477,159.56755970997452,70.68675873448035,165.69591007652843,134.25928233646977,101.23599762651722
H1,a,524,613.8707573410754,1551.934100592321,629.1306060276821,1526.5695381329092,87.88702995019636,208.33146547034136,120.51635562198453,259.57916433061973,185.46576282841102,154.39442794793695
H1,o,436,491.9145972572941,1098.0983910009074,493.9364854059278,1100.138368368248,68.96621973474147,219.49606765687713,72.37387590406456,248.94671533464702,180.57020645818062,145.95420182330085
H1,u,74,423.82554202560027,915.4762576970894,426.70137487162566,991.2627740188375,60.433804017095774,347.0985852191,80.01275267982084,317.9989209763079,246.73552181806667,169.40131507117354
H2,i,227,347.49660609060373,2129.5628130235577,365.8795741113866,2099.745677575695,95.25664245650373,212.94446206507922,83.71374204708133,244.06923157489473,181.4541129564045,141.6961988048445
H2,e,417,442.8904828055238,1908.150643439332,445.085248828025,1892.9746198478329,64.77005881997772,177.03879908196606,74.45494764861013,187.51949550575,145.04696438219372,113.68083351334575
H2,a,515,628.980165521561,1494.484364450987,639.6882973050124,1480.8016057790762,87.69431119077515,205.14194972191552,113.90134509923519,264.29988405545896,185.50096441472482,150.18788405758113
H2,o,368,492.64541644571386,1105.7772099472447,495.81727220313974,1122.5814663049994,65.12357121278647,246.9261879865765,65.68681109260723,273.6324994838724,194.2581781059045,156.38359310371374
H2,u,80,430.5314791245846,895.7989029170991,434.6816934155855,930.2085752889543,94.0620814937772,266.0950805621677,89.35173832139918,311.002573471558,216.61192682521536,164.51155471677794
