half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,230.0193909279325,157.0792090855064,1.4643528718222727,True
H1,i,u,i-u,1215.4292046776475,214.70982591300546,5.660799171669517,True
H1,e,a,e-a,408.40002789027835,161.8998209928416,2.5225477420900653,True
H1,a,o,a-o,469.9363321586477,183.0343528437686,2.5674761314329233,True
H1,o,u,o-u,194.9024448660974,216.19900229555134,0.9014955795201088,True
H2,i,e,i-e,241.08782747101787,164.262316106411,1.4677001590239263,True
H2,i,u,i-u,1236.5549627982364,199.80781009726329,6.188721863256001,True
H2,e,a,e-a,453.59581169298593,166.50710146309433,2.7241829790276166,True
H2,a,o,a-o,411.92282744219256,189.93004970227634,2.1688133504303275,True
H2,o,u,o-u,218.97267097238247,205.73887163581628,1.064323281406888,True
