half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,230.0193909279325,157.0792090855064,1.4643528718222727,True
H1,i,a,i-a,638.2521891448572,181.27292977976188,3.520945956576659,False
H1,i,o,i-o,1041.138659168202,178.7845077470396,5.823427724740549,False
H1,i,u,i-u,1215.4292046776475,214.70982591300546,5.660799171669517,True
H1,e,a,e-a,408.40002789027835,161.8998209928416,2.5225477420900653,True
H1,e,o,e-o,821.542264937573,159.10869610717995,5.163402661436932,False
H1,e,u,e-u,1001.981365192118,198.62524086874956,5.044582253542598,False
H1,a,o,a-o,469.9363321586477,183.0343528437686,2.5674761314329233,True
H1,a,u,a-u,664.2256917999761,218.26127337248593,3.043259491418822,False
H1,o,u,o-u,194.9024448660974,216.19900229555134,0.9014955795201088,True
H2,i,e,i-e,241.08782747101787,164.262316106411,1.4677001590239263,True
H2,i,a,i-a,694.6636812668881,183.4886957111917,3.7858663639981276,False
H2,i,o,i-o,1034.023760952249,187.96520272356386,5.501144605328701,False
H2,i,u,i-u,1236.5549627982364,199.80781009726329,6.188721863256001,True
H2,e,a,e-a,453.59581169298593,166.50710146309433,2.7241829790276166,True
H2,e,o,e-o,803.9145975757752,171.42762559971874,4.689527692887174,False
H2,e,u,e-u,1012.4271783740201,184.33576527551813,5.49229921204272,False
H2,a,o,a-o,411.92282744219256,189.93004970227634,2.1688133504303275,True
H2,a,u,a-u,630.718766951428,201.65730168001042,3.1276763186698386,False
H2,o,u,o-u,218.97267097238247,205.73887163581628,1.064323281406888,True
