half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,230.0193909279325,176.9807926311569,157.0792090855064,1.4643528718222727,0.6828955091647946,0.14053891397298932,0.3069942587542535,334
H1,e,i,230.0193909279325,134.25928233646977,157.0792090855064,1.4643528718222727,0.6828955091647946,0.25956689207742073,0.38221921514577395,432
H1,a,e,408.40002789027835,185.46576282841102,161.8998209928416,2.5225477420900653,0.39642460807161833,0.20880772640161516,0.3177729260320582,524
H1,o,u,194.9024448660974,180.57020645818062,216.19900229555134,0.9014955795201088,1.1092677798068935,0.11273108508611608,0.2121820767178177,436
H1,u,o,194.9024448660974,246.73552181806667,216.19900229555134,0.9014955795201088,1.1092677798068935,-0.039220037809124454,0.07383595502697905,74
H2,i,e,241.08782747101787,181.4541129564045,164.262316106411,1.4677001590239263,0.6813380743005684,0.11395395975379671,0.30170091603481153,227
H2,e,i,241.08782747101787,145.04696438219372,164.262316106411,1.4677001590239263,0.6813380743005684,0.2427373453597125,0.37915851099525794,417
H2,a,o,411.92282744219256,185.50096441472482,189.93004970227634,2.1688133504303275,0.46108163240584255,0.22623837688458168,0.3605632124452763,515
H2,o,u,218.97267097238247,194.2581781059045,205.73887163581628,1.064323281406888,0.9395641507326031,0.08358027922338755,0.16736790471583712,368
H2,u,o,218.97267097238247,216.61192682521536,205.73887163581628,1.064323281406888,0.9395641507326031,0.007061820997281804,0.13608435542090658,80
