audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
12c532f8-Audio_SP15,H1,i,85410.97517851336,25651.976872740775,30.033583879737723,59758.99830577258,69.96641612026228
12c532f8-Audio_SP15,H1,e,68364.29406180383,33997.74783612981,49.730269730269725,34366.546225674014,50.269730269730275
12c532f8-Audio_SP15,H1,a,161916.15220951498,19409.72264971493,11.987514762949216,142506.42955980005,88.01248523705077
12c532f8-Audio_SP15,H1,o,112831.81840110499,84755.33359710145,75.11651837055868,28076.484804003543,24.883481629441313
12c532f8-Audio_SP15,H1,u,149759.46455416924,73691.38191077556,49.206493980299165,76068.08264339369,50.79350601970083
12c532f8-Audio_SP15,H2,i,111500.10969096432,39322.90692661023,35.26714640514552,72177.2027643541,64.73285359485449
12c532f8-Audio_SP15,H2,e,86399.62648663655,44918.149010064335,51.9888231426693,41481.47747657222,48.0111768573307
12c532f8-Audio_SP15,H2,a,152413.5422859676,20392.81124832513,13.37992080130445,132020.73103764246,86.62007919869555
12c532f8-Audio_SP15,H2,o,117563.98880171281,82955.85439212482,70.56229993356283,34608.13440958799,29.437700066437163
12c532f8-Audio_SP15,H2,u,137111.83328870413,68158.2852272538,49.70999482133609,68953.54806145033,50.29000517866391
