half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,226.67850214807538,183.6457030201467,1.2343251076405954,True
H1,i,u,i-u,1149.82902879783,219.60609310282794,5.235870337438389,True
H1,e,a,e-a,420.79672964962646,170.38644563076187,2.469660823616917,True
H1,a,o,a-o,339.5189912625564,192.68502245905603,1.7620414235086768,True
H1,o,u,o-u,258.91864162462554,223.57044323284035,1.1581076544853084,True
H2,i,e,i-e,225.4791353971929,170.87703508978217,1.319540307325216,True
H2,i,u,i-u,1060.929258630166,199.34270170007238,5.3221374526488665,True
H2,e,a,e-a,344.047901116114,148.3189619919158,2.319648792680106,True
H2,a,o,a-o,400.3067399546881,180.7726915196474,2.2144204226288267,True
H2,o,u,o-u,218.55828842195,202.12135803981107,1.081322085610079,True
