audio,half,vowel_raw,vowel,f1,f2,token_time
181d5ce9-Audio_SP21,H1,e,e,484.1267775785943,1693.0778273037947,50.49375
181d5ce9-Audio_SP21,H1,e,e,470.2810732799566,1767.3827944064822,51.05075
181d5ce9-Audio_SP21,H1,e,e,526.8017188203235,1608.7082417298332,103.99875
181d5ce9-Audio_SP21,H1,e,e,503.485405556836,1938.099230310048,109.33775
181d5ce9-Audio_SP21,H1,e,e,413.45035028661226,1682.2056843298913,126.88375
181d5ce9-Audio_SP21,H1,e,e,461.8865126726523,1821.187074307022,127.36375
181d5ce9-Audio_SP21,H1,e,e,606.993450961696,2316.346401479408,128.74274999999997
181d5ce9-Audio_SP21,H1,e,e,501.7374586277286,1991.173459560456,133.76274999999998
181d5ce9-Audio_SP21,H1,e,e,470.80456993674863,1844.970762399415,166.08874999999998
181d5ce9-Audio_SP21,H1,e,e,389.4831243094416,1980.722216011664,166.67375
181d5ce9-Audio_SP21,H1,e,e,594.8159529198698,1451.6470131056512,168.19375000000002
181d5ce9-Audio_SP21,H1,e,e,490.3981072436467,1873.7870141286005,170.59375000000003
181d5ce9-Audio_SP21,H1,e,e,430.1053924576916,2171.6703632882136,172.56375000000003
181d5ce9-Audio_SP21,H1,e,e,455.478747838236,2230.0065022955905,172.82575
181d5ce9-Audio_SP21,H1,e,e,570.8090485121314,2132.53902538432,173.99274999999997
181d5ce9-Audio_SP21,H1,e,e,561.2061139602579,1942.851182080499,180.09375000000003
181d5ce9-Audio_SP21,H1,e,e,512.0657129481576,1634.5906369000409,180.46275
181d5ce9-Audio_SP21,H1,e,e,521.5086635189598,1634.115168488402,181.77875
181d5ce9-Audio_SP21,H1,e,e,389.0072711081357,1681.1956373130936,182.84775
181d5ce9-Audio_SP21,H1,e,e,449.8429396119773,2014.140277503148,184.64275
181d5ce9-Audio_SP21,H1,e,e,507.9986695555485,2259.683176215523,185.33375
181d5ce9-Audio_SP21,H1,e,e,507.4946673683406,1983.05969083726,185.64375
181d5ce9-Audio_SP21,H1,e,e,533.4539365240801,1602.2260403933644,187.78575
181d5ce9-Audio_SP21,H1,e,e,472.324447756876,1830.6863869477672,190.30575
181d5ce9-Audio_SP21,H1,e,e,695.9520856891659,1541.6720590329126,197.74375
181d5ce9-Audio_SP21,H1,e,e,477.6110824026323,1563.8991291385876,198.76575000000005
181d5ce9-Audio_SP21,H1,e,e,408.50951683836144,2042.046560382253,199.15775
181d5ce9-Audio_SP21,H1,e,e,459.966461286312,1655.762331666508,213.27575
181d5ce9-Audio_SP21,H1,e,e,545.8792055036256,1887.2453538104871,236.51275
181d5ce9-Audio_SP21,H1,e,e,475.631890982652,2034.1789634877152,236.87775
181d5ce9-Audio_SP21,H1,e,e,407.7100316844942,1865.693375031089,237.07775
181d5ce9-Audio_SP21,H1,e,e,460.0859653077176,1886.8940993280137,237.74275
181d5ce9-Audio_SP21,H1,e,e,405.2177234015982,1907.4065975503925,237.95775
181d5ce9-Audio_SP21,H1,e,e,464.4449307546514,1866.1627384537576,239.51775
181d5ce9-Audio_SP21,H1,e,e,533.6340066127842,1869.984357345091,243.04575
