audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
1c403477-Audio_SP13,H1,i,e,129559.28232051256,94009.09683902485,37046.37524343541,186522.003916102,28.59414978217274,39.40722386352807,19.861664825399878
1c403477-Audio_SP13,H1,i,a,129559.28232051256,108953.07601823893,0.0,238512.35833875148,0.0,0.0,0.0
1c403477-Audio_SP13,H1,i,o,129559.28232051256,121361.59590026023,0.0,250920.87822077278,0.0,0.0,0.0
1c403477-Audio_SP13,H1,i,u,129559.28232051256,95182.7546762413,0.0,224742.03699675386,0.0,0.0,0.0
1c403477-Audio_SP13,H1,e,a,94009.09683902485,108953.07601823893,4291.466442951768,198670.706414312,4.564948060611837,3.938820820656196,2.1600901916572717
1c403477-Audio_SP13,H1,e,o,94009.09683902485,121361.59590026023,0.0,215370.69273928506,0.0,0.0,0.0
1c403477-Audio_SP13,H1,e,u,94009.09683902485,95182.7546762413,0.0,189191.85151526614,0.0,0.0,0.0
1c403477-Audio_SP13,H1,a,o,108953.07601823893,121361.59590026023,6325.20941278486,223989.4625057143,5.805443631280323,5.211870662926325,2.8238870445182194
1c403477-Audio_SP13,H1,a,u,108953.07601823893,95182.7546762413,0.0,204135.83069448025,0.0,0.0,0.0
1c403477-Audio_SP13,H1,o,u,121361.59590026023,95182.7546762413,50306.021037941915,166238.3295385596,41.45135095231065,52.85203313253012,30.261385071409325
1c403477-Audio_SP13,H2,i,e,173539.1987147102,95293.89687393012,59081.13115124366,209751.96443739664,34.04483343752791,61.99886151093763,28.167140798758638
1c403477-Audio_SP13,H2,i,a,173539.1987147102,123377.5825103555,0.0,296916.7812250657,0.0,0.0,0.0
1c403477-Audio_SP13,H2,i,o,173539.1987147102,117123.8478777409,0.0,290663.0465924511,0.0,0.0,0.0
1c403477-Audio_SP13,H2,i,u,173539.1987147102,134660.65267774934,0.0,308199.85139245953,0.0,0.0,0.0
1c403477-Audio_SP13,H2,e,a,95293.89687393012,123377.5825103555,10934.348905352152,207737.13047893345,11.474343335772954,8.862508636392187,5.263550565150894
1c403477-Audio_SP13,H2,e,o,95293.89687393012,117123.8478777409,0.0,212417.74475167104,0.0,0.0,0.0
1c403477-Audio_SP13,H2,e,u,95293.89687393012,134660.65267774934,0.0,229954.54955167946,0.0,0.0,0.0
1c403477-Audio_SP13,H2,a,o,123377.5825103555,117123.8478777409,11794.528018388359,228706.90236970803,9.559701023805037,10.070133650919677,5.157049435841833
1c403477-Audio_SP13,H2,a,u,123377.5825103555,134660.65267774934,0.0,258038.23518810485,0.0,0.0,0.0
1c403477-Audio_SP13,H2,o,u,117123.8478777409,134660.65267774934,61653.919128973575,190130.58142651667,52.639936482731244,45.784657881107215,32.427144895047896
