audio,half,vowel_raw,vowel,f1,f2,token_time
1c403477-Audio_SP13,H1,a,a,640.878396036995,1464.001978242381,23.99875
1c403477-Audio_SP13,H1,a,a,622.9605614704843,1528.5387648523354,24.27775
1c403477-Audio_SP13,H1,a,a,589.9844319654164,1548.290821351742,26.76775
1c403477-Audio_SP13,H1,a,a,699.3692315323344,1278.7553420866336,28.82875
1c403477-Audio_SP13,H1,a,a,640.4373045312265,1381.2515292772975,32.170750000000005
1c403477-Audio_SP13,H1,a,a,577.771863873261,1898.376670368588,32.875750000000004
1c403477-Audio_SP13,H1,a,a,633.5858846104171,1872.251480016586,37.03875000000001
1c403477-Audio_SP13,H1,a,a,703.2192920457875,1588.4706038065722,37.213750000000005
1c403477-Audio_SP13,H1,a,a,581.114295261661,1585.4782814010982,39.53775
1c403477-Audio_SP13,H1,a,a,502.57192439520543,2014.7306939313269,44.45375
1c403477-Audio_SP13,H1,a,a,588.9353696776184,1645.309035095721,44.56375
1c403477-Audio_SP13,H1,a,a,561.9008018726176,1484.7080259300851,44.87375
1c403477-Audio_SP13,H1,a,a,660.5255592741576,1255.9237025165712,49.10274999999999
1c403477-Audio_SP13,H1,a,a,593.800050005169,1546.5615298679363,52.353750000000005
1c403477-Audio_SP13,H1,a,a,542.9748117241387,1959.326567357842,58.14375
1c403477-Audio_SP13,H1,a,a,648.8025581348362,1469.4852597188656,59.80575
1c403477-Audio_SP13,H1,a,a,652.1458397013788,1453.2608105075856,72.30275
1c403477-Audio_SP13,H1,a,a,614.2968576325172,1191.672261407938,72.84575
1c403477-Audio_SP13,H1,a,a,688.5139399019179,1564.7999150660446,72.96775
1c403477-Audio_SP13,H1,a,a,500.17758958004185,1624.3483884315451,73.41575
1c403477-Audio_SP13,H1,a,a,624.613896403284,1473.7113829661444,76.31275000000001
1c403477-Audio_SP13,H1,a,a,625.4317558216916,1497.344157054329,80.70074999999999
1c403477-Audio_SP13,H1,a,a,685.4376336205968,1687.71076583107,81.65074999999999
1c403477-Audio_SP13,H1,a,a,670.3110636912446,1542.7587707536268,82.38074999999999
1c403477-Audio_SP13,H1,a,a,669.0997371288772,1293.467066648093,83.35374999999999
1c403477-Audio_SP13,H1,a,a,614.933041686337,1156.0350497471268,84.94375000000001
1c403477-Audio_SP13,H1,a,a,536.7439649389996,1943.740025090955,87.13575
1c403477-Audio_SP13,H1,a,a,636.0104626465487,1550.6905434086952,87.54975
1c403477-Audio_SP13,H1,a,a,676.9981767657305,1529.3614710776071,89.82374999999999
1c403477-Audio_SP13,H1,a,a,418.3154243586788,1629.3686142272688,91.45375
1c403477-Audio_SP13,H1,a,a,553.4205672165344,1590.991415642332,91.95375
1c403477-Audio_SP13,H1,a,a,647.5077586492338,1580.2416719224875,93.64775
1c403477-Audio_SP13,H1,a,a,556.8760482924982,1812.5979611736675,94.00275
1c403477-Audio_SP13,H1,a,a,619.115575322053,1670.8509228910425,95.34775
1c403477-Audio_SP13,H1,a,a,726.3494554504138,1624.5695211860716,99.68575
1c403477-Audio_SP13,H1,a,a,589.9263689483165,1464.4734688274705,101.34875
1c403477-Audio_SP13,H1,a,a,630.5990811642714,1834.255968278309,107.33075
1c403477-Audio_SP13,H1,a,a,692.8698133874019,1301.0849782823204,107.65575
1c403477-Audio_SP13,H1,a,a,658.900550227597,1268.3297684353615,109.95375
1c403477-Audio_SP13,H1,a,a,669.9753645443724,1553.1812337359192,110.37075
1c403477-Audio_SP13,H1,a,a,642.7699306181116,1518.7276556621057,110.72875
1c403477-Audio_SP13,H1,a,a,666.9182302280402,1488.082819121615,111.86375
1c403477-Audio_SP13,H1,a,a,646.4515847722818,1601.0796953665686,112.26775
1c403477-Audio_SP13,H1,a,a,500.4816733316409,1501.0068472714668,114.63375
1c403477-Audio_SP13,H1,a,a,645.1037942751907,1653.0086716087462,122.96575
1c403477-Audio_SP13,H1,a,a,594.4826965326388,1648.8209722884062,124.19375
1c403477-Audio_SP13,H1,a,a,480.1843319935995,1451.0946073106638,125.42575
1c403477-Audio_SP13,H1,a,a,656.4844103685307,1347.773354220061,137.30375
1c403477-Audio_SP13,H1,a,a,1015.907843756685,1514.6553641734954,139.13475
1c403477-Audio_SP13,H1,a,a,837.8152386925918,1478.3441745793662,140.13275000000002
1c403477-Audio_SP13,H1,a,a,663.6852769220861,1341.9954858670906,140.27274999999997
1c403477-Audio_SP13,H1,a,a,509.55074993420885,1868.8890718695209,147.27575
1c403477-Audio_SP13,H1,a,a,506.3748474598071,2136.384733889512,156.46274999999997
1c403477-Audio_SP13,H1,a,a,608.1853587912427,1251.8880468129132,163.42274999999998
1c403477-Audio_SP13,H1,a,a,639.978346280354,1201.884294901564,166.29375000000002
1c403477-Audio_SP13,H1,a,a,715.5911887145852,1650.797719949383,168.81075
1c403477-Audio_SP13,H1,a,a,624.9551710079602,1482.5642687855802,169.82875
1c403477-Audio_SP13,H1,a,a,633.1545116317034,1377.6047871886285,173.64775
1c403477-Audio_SP13,H1,a,a,475.8223442986847,1257.8463269248002,176.68874999999997
1c403477-Audio_SP13,H1,a,a,585.6054474443941,1625.352918870878,178.90874999999997
1c403477-Audio_SP13,H1,a,a,639.7187907643546,1517.8944584484634,183.45875
1c403477-Audio_SP13,H1,a,a,643.4217065191752,1388.7227211313543,183.75875
1c403477-Audio_SP13,H1,a,a,817.8699652666241,1500.8906585342409,189.00575
1c403477-Audio_SP13,H1,a,a,668.2217809968456,1457.363099426058,195.99275
1c403477-Audio_SP13,H1,a,a,749.441372343255,1541.4615219318464,196.34075
1c403477-Audio_SP13,H1,a,a,682.0436737275029,1441.906740936589,196.84575
1c403477-Audio_SP13,H1,a,a,625.2279822091954,1485.5769241855694,201.79075000000003
1c403477-Audio_SP13,H1,a,a,577.9855626391932,1394.8089129200102,202.27575
1c403477-Audio_SP13,H1,a,a,734.0984009057355,1380.4784087400724,203.99575
1c403477-Audio_SP13,H1,a,a,726.9720679851599,1428.5435916770846,204.42575
1c403477-Audio_SP13,H1,a,a,592.3501996176054,1403.8771671341424,210.37875
1c403477-Audio_SP13,H1,a,a,649.2063629399447,1198.3096591066462,210.49775
1c403477-Audio_SP13,H1,a,a,654.3904914045816,1236.367079338365,211.52775
1c403477-Audio_SP13,H1,a,a,640.0984334314982,1710.210902688695,214.27775
1c403477-Audio_SP13,H1,a,a,617.9192028470138,1434.6845373277447,214.47875
1c403477-Audio_SP13,H1,a,a,627.2252313200057,1237.3977424390323,216.08275
1c403477-Audio_SP13,H1,a,a,731.6763341696308,1309.693884068387,218.28775
1c403477-Audio_SP13,H1,a,a,562.2025749751032,1418.1565189650023,220.79775
1c403477-Audio_SP13,H1,a,a,671.2817282465485,1505.4354673618443,224.22775
1c403477-Audio_SP13,H1,a,a,594.4480999149883,1484.2356899145127,224.46275
1c403477-Audio_SP13,H1,a,a,567.3221924915979,1538.061599326682,224.61375
1c403477-Audio_SP13,H1,a,a,665.9396394763215,1465.435713570895,226.29575
1c403477-Audio_SP13,H1,a,a,682.2245225896402,1588.107489938595,230.61575
1c403477-Audio_SP13,H1,a,a,585.5191595849857,1584.523721280872,233.24275
1c403477-Audio_SP13,H1,a,a,867.8806775577143,1504.4068923798438,234.27875
1c403477-Audio_SP13,H1,a,a,683.5564555367818,1646.2723154072787,240.15875
1c403477-Audio_SP13,H1,a,a,666.6816971027157,1808.6425074890703,243.91775
1c403477-Audio_SP13,H1,a,a,554.8354194924946,1427.2318329048828,253.54275
1c403477-Audio_SP13,H1,a,a,662.5109801079861,1524.9912453794518,259.30375
1c403477-Audio_SP13,H1,a,a,585.364109351957,1287.9414293280354,260.68075
1c403477-Audio_SP13,H1,a,a,584.635031459903,1235.8981947622374,262.50275000000005
1c403477-Audio_SP13,H1,a,a,573.660517081673,1177.6327931134822,265.90275
1c403477-Audio_SP13,H1,a,a,643.5266094772473,1237.2565539793789,274.67375
1c403477-Audio_SP13,H1,a,a,687.5084388665515,1555.6587955560983,277.64775
