half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,469,388.035152347001,2314.005109274115,401.19510071762323,2314.790740546297,83.03940273511157,267.95008141445976,92.79758050988812,310.4982045987067,219.56292428515388,175.549654957333
H1,e,603,487.8293571685406,2067.65077678075,493.0051024483677,2039.8906534507155,63.30649932573639,223.81193542323314,74.97907813011017,291.6164947426428,190.49893607508292,157.9885720565467
H1,a,704,703.9849331813509,1562.780658328248,712.7196056112826,1576.6255977503604,101.51399346982919,165.9933051988767,135.15612853560015,179.66531523052754,161.16219351516577,135.69184396289288
H1,o,573,507.86016033838894,1096.8133986232149,515.8403254003636,1107.095796478043,67.46902211910394,224.71930825314453,77.69050548897343,342.78966439755686,198.26834824321622,182.54449426209584
H1,u,149,424.58915680842665,925.4061973216352,439.89291276828476,965.545582720947,82.96734638728593,271.18840049780215,91.40226192095292,349.65915219739486,227.3673025800062,186.37901225219537
H2,i,460,391.8132501795867,2339.2595497438742,414.90702124049005,2321.280473296595,108.7949675693341,273.6063785434112,101.26999879288655,307.7238441371551,226.0803962950615,178.9802288952036
H2,e,702,494.16817973877187,2073.588297346113,495.7904115080872,2050.791978848856,63.03668692757604,258.7842637449493,77.84183210401648,359.68814311368965,220.83647447444287,189.13729587159702
H2,a,756,703.6963802914458,1573.7584136214855,711.4261397168045,1587.0257304967286,96.8219114747341,197.95090995115004,124.76646551134854,196.43696504952118,178.53952382481208,143.0865465681506
H2,o,618,512.6790145278777,1100.24753124281,523.3676220913984,1120.9252090962914,73.53288574532917,237.13937133536487,77.03661037034465,341.6218553611867,207.23691104995018,181.1131221423325
H2,u,118,437.758417457095,857.8872535187639,455.71604442301583,937.9555741902088,75.96413842985956,276.1824181606664,96.87246124045538,381.91896705996373,228.27443634222283,165.76389756179827
