half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,265.7994365197465,205.54527769616448,1.2931429974890947,True
H1,i,u,i-u,1389.0799593679899,223.49918121008443,6.215145629827989,True
H1,e,a,e-a,549.1967493964922,176.44134615270633,3.1126306921347893,True
H1,a,o,a-o,505.55950553789523,180.67040506639844,2.798241944230414,True
H1,o,u,o-u,190.56360798150115,213.31458951229914,0.893345403224348,True
H2,i,e,i-e,284.7064206435477,223.47381731114868,1.2740034786587244,True
H2,i,u,i-u,1482.0846259304542,227.1800650104357,6.523832211520731,True
H2,e,a,e-a,541.970459980077,200.80476840191307,2.6989919825774096,True
H2,a,o,a-o,510.5880822681671,193.42117111256928,2.6397735022036946,True
H2,o,u,o-u,253.67617169123187,218.00958188676535,1.1636010192569968,True
