half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,319.0217869931108,191.78208943722615,1.6634597523119206,True
H1,i,a,i-a,872.9038666684384,177.78944495833818,4.9097620326841565,False
H1,i,o,i-o,1244.4284086286264,184.02890625457158,6.76213554683186,False
H1,i,u,i-u,1351.4108997363146,235.21112581324255,5.745522857661648,True
H1,e,a,e-a,554.1103358512136,171.63585721195554,3.2284066095054653,True
H1,e,o,e-o,942.4720094477898,178.09104154769472,5.292079833198041,False
H1,e,u,e-u,1057.152472818299,230.59500091854082,4.584455294378844,False
H1,a,o,a-o,455.88773473852797,162.92678106814876,2.7981141697499075,True
H1,a,u,a-u,589.3223767799049,219.09534764186026,2.6897986795375894,False
H1,o,u,o-u,135.2971583199375,224.18814187411326,0.6034982813493763,True
H2,i,e,i-e,312.0355883305343,192.02894848800267,1.6249403581462056,True
H2,i,a,i-a,890.383562399338,189.17675265894286,4.706622509820566,False
H2,i,o,i-o,1326.7525855436222,186.75476409212354,7.1042502824139655,False
H2,i,u,i-u,1451.9980149967332,208.48272761963844,6.964596211758117,True
H2,e,a,e-a,578.623793570018,185.5883669669789,3.117780510849425,True
H2,e,o,e-o,1037.3485885640196,183.11892342953496,5.664890166106707,False
H2,e,u,e-u,1171.048275362664,205.23217565141078,5.705968236441167,False
H2,a,o,a-o,545.6940050376135,180.12569724269423,3.029517794467532,True
H2,a,u,a-u,698.2690397609642,202.56597101138775,3.447119159622863,False
H2,o,u,o-u,153.82744613451123,200.30594293806726,0.767962467204846,True
