audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
2988c6fc-Audio_SP13,H1,i,e,143829.9602259257,127831.10660834631,39016.61639295424,232644.45044131775,27.12690480597199,30.522004720255453,16.770920741475322
2988c6fc-Audio_SP13,H1,i,a,143829.9602259257,122302.93921857818,0.0,266132.8994445038,0.0,0.0,0.0
2988c6fc-Audio_SP13,H1,i,o,143829.9602259257,92967.27085489687,0.0,236797.23108082256,0.0,0.0,0.0
2988c6fc-Audio_SP13,H1,i,u,143829.9602259257,194257.84991461318,0.0,338087.81014053884,0.0,0.0,0.0
2988c6fc-Audio_SP13,H1,e,a,127831.10660834631,122302.93921857818,0.0,250134.04582692447,0.0,0.0,0.0
2988c6fc-Audio_SP13,H1,e,o,127831.10660834631,92967.27085489687,0.0,220798.37746324317,0.0,0.0,0.0
2988c6fc-Audio_SP13,H1,e,u,127831.10660834631,194257.84991461318,0.0,322088.95652295946,0.0,0.0,0.0
2988c6fc-Audio_SP13,H1,a,o,122302.93921857818,92967.27085489687,0.0,215270.21007347506,0.0,0.0,0.0
2988c6fc-Audio_SP13,H1,a,u,122302.93921857818,194257.84991461318,0.0,316560.78913319134,0.0,0.0,0.0
2988c6fc-Audio_SP13,H1,o,u,92967.27085489687,194257.84991461318,68689.47634702269,218535.64442248736,73.8856542903503,35.35994883975882,31.431703751827193
2988c6fc-Audio_SP13,H2,i,e,124258.39579174302,139359.2163902917,36180.302738853454,227437.30944318126,29.11698844035586,25.961901678268845,15.907813378302416
2988c6fc-Audio_SP13,H2,i,a,124258.39579174302,159791.95023802915,0.0,284050.3460297722,0.0,0.0,0.0
2988c6fc-Audio_SP13,H2,i,o,124258.39579174302,92710.6157066276,0.0,216969.01149837062,0.0,0.0,0.0
2988c6fc-Audio_SP13,H2,i,u,124258.39579174302,127499.65758356298,0.0,251758.053375306,0.0,0.0,0.0
2988c6fc-Audio_SP13,H2,e,a,139359.2163902917,159791.95023802915,15.04065796668196,299136.1259703542,0.010792725702876262,0.00941265060240964,0.005028031274354526
2988c6fc-Audio_SP13,H2,e,o,139359.2163902917,92710.6157066276,0.0,232069.8320969193,0.0,0.0,0.0
2988c6fc-Audio_SP13,H2,e,u,139359.2163902917,127499.65758356298,0.0,266858.8739738547,0.0,0.0,0.0
2988c6fc-Audio_SP13,H2,a,o,159791.95023802915,92710.6157066276,0.0,252502.56594465676,0.0,0.0,0.0
2988c6fc-Audio_SP13,H2,a,u,159791.95023802915,127499.65758356298,0.0,287291.60782159213,0.0,0.0,0.0
2988c6fc-Audio_SP13,H2,o,u,92710.6157066276,127499.65758356298,54710.39335380563,165499.87993638497,59.012005191434135,42.91022767488498,33.05766347071386
