half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,464.96207047680696,245.99614114779166,214.26383467732967,2.170044567609909,0.4608200287339728,0.24657212935308567,0.45939461423292305,125
H1,e,a,354.1285528087826,176.92902600100385,190.72012997004148,1.8567969351971891,0.5385618540423762,0.26337504424328084,0.39291016267240664,203
H1,a,e,354.1285528087826,203.57911412990072,190.72012997004148,1.8567969351971891,0.5385618540423762,0.15202755391100867,0.24737239395015997,241
H1,o,u,351.78421257431916,253.14779629683713,248.87340386925618,1.4135066548096333,0.7074604117337366,-0.09520940226341731,-0.08890395509472676,150
H1,u,o,351.78421257431916,244.52430459362287,248.87340386925618,1.4135066548096333,0.7074604117337366,0.26961589581380524,0.42894056714426404,33
H2,i,e,420.78397467436736,193.63947101060253,191.94718215491477,2.192186256398207,0.456165618720288,0.3130467612226555,0.4687127258330276,82
H2,e,i,420.78397467436736,190.23984004713125,191.94718215491477,2.192186256398207,0.456165618720288,0.24890315182877057,0.3993892180116374,115
H2,a,o,351.8070105632518,197.74413085960543,222.1091203318021,1.5839377061045399,0.6313379599121685,0.1776330363641369,0.2807495558446571,159
H2,o,a,351.8070105632518,244.05364447127837,222.1091203318021,1.5839377061045399,0.6313379599121685,-0.04647083670344704,-0.009402691755046145,114
H2,u,o,395.1600075207853,207.90388271734892,226.70046959442135,1.7430930259110033,0.5736928466438926,0.260449482539952,0.45682692063094255,33
