audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
2e25304d-Audio_SP12,H1,i,e,173106.8068370318,155595.41727187732,27132.526313622628,301569.6977952865,15.673864482501859,17.437869822485204,8.997099679438254
2e25304d-Audio_SP12,H1,i,a,173106.8068370318,196234.36235105284,0.0,369341.1691880846,0.0,0.0,0.0
2e25304d-Audio_SP12,H1,i,o,173106.8068370318,239276.2899099893,0.0,412383.0967470211,0.0,0.0,0.0
2e25304d-Audio_SP12,H1,i,u,173106.8068370318,253804.66674164744,0.0,426911.4735786792,0.0,0.0,0.0
2e25304d-Audio_SP12,H1,e,a,155595.41727187732,196234.36235105284,40869.11581478482,310960.6638081453,26.26627218934911,20.826686684808106,13.142857142857146
2e25304d-Audio_SP12,H1,e,o,155595.41727187732,239276.2899099893,13662.934865767214,381208.7723160994,8.781065088757396,5.7101081226672825,3.5841081994928152
2e25304d-Audio_SP12,H1,e,u,155595.41727187732,253804.66674164744,0.0,409400.08401352476,0.0,0.0,0.0
2e25304d-Audio_SP12,H1,a,o,196234.36235105284,239276.2899099893,59144.67222216212,376365.98003888,30.13981420662475,24.71814998653276,15.71467012402456
2e25304d-Audio_SP12,H1,a,u,196234.36235105284,253804.66674164744,0.0,450039.0290927003,0.0,0.0,0.0
2e25304d-Audio_SP12,H1,o,u,239276.2899099893,253804.66674164744,96524.39968511015,396556.5569665266,40.34014390703759,38.030979069176915,24.340638930163443
2e25304d-Audio_SP12,H2,i,e,148768.7102380078,192681.55523565155,37716.45688570377,303733.8085879556,25.3524123623597,19.574503039264005,12.417602459550297
2e25304d-Audio_SP12,H2,i,a,148768.7102380078,209941.2263367258,0.0,358709.93657473364,0.0,0.0,0.0
2e25304d-Audio_SP12,H2,i,o,148768.7102380078,253054.79266348077,0.0,401823.50290148857,0.0,0.0,0.0
2e25304d-Audio_SP12,H2,i,u,148768.7102380078,153358.62735796336,0.0,302127.3375959711,0.0,0.0,0.0
2e25304d-Audio_SP12,H2,e,a,192681.55523565155,209941.2263367258,24833.03434900093,377789.7472233765,12.888122227698373,11.82856496664028,6.573242003393452
2e25304d-Audio_SP12,H2,e,o,192681.55523565155,253054.79266348077,7834.513704751726,437901.8341943806,4.066042385411532,3.0959752321981426,1.789102737869341
2e25304d-Audio_SP12,H2,e,u,192681.55523565155,153358.62735796336,0.0,346040.1825936149,0.0,0.0,0.0
2e25304d-Audio_SP12,H2,a,o,209941.2263367258,253054.79266348077,79548.0118789539,383448.0071212527,37.890610275547516,31.435093973793666,20.745449292112106
2e25304d-Audio_SP12,H2,a,u,209941.2263367258,153358.62735796336,0.0,363299.85369468917,0.0,0.0,0.0
2e25304d-Audio_SP12,H2,o,u,253054.79266348077,153358.62735796336,37368.25627660369,369045.1637448404,14.766863683272355,24.3665823829919,10.12565939014453
