audio,half,vowel_raw,vowel,f1,f2,token_time
2e25304d-Audio_SP12,H1,a,a,1005.433140997856,1348.4333257328317,15.81375
2e25304d-Audio_SP12,H1,a,a,968.550954520056,1407.9386604036383,16.00375
2e25304d-Audio_SP12,H1,a,a,873.8225584778355,1846.8460611733385,21.98775
2e25304d-Audio_SP12,H1,a,a,747.0336894739502,1337.244741531991,25.76275
2e25304d-Audio_SP12,H1,a,a,708.3982523251617,2081.06700954082,26.11875
2e25304d-Audio_SP12,H1,a,a,918.2973384058778,1666.3985915617263,29.02775
2e25304d-Audio_SP12,H1,a,a,735.5280412855659,1679.2150846915088,50.11075
2e25304d-Audio_SP12,H1,a,a,748.9777506335463,1888.381153559822,50.27575
2e25304d-Audio_SP12,H1,a,a,689.1314568775607,2169.059790929714,53.47075
2e25304d-Audio_SP12,H1,a,a,918.066383315862,1534.5526375661354,56.59775
2e25304d-Audio_SP12,H1,a,a,795.8371374978224,1694.9804722414929,57.243750000000006
2e25304d-Audio_SP12,H1,a,a,829.9296933693116,1661.3748676232435,76.59275
2e25304d-Audio_SP12,H1,a,a,746.9232550399565,1672.5004143613728,87.93575
2e25304d-Audio_SP12,H1,a,a,855.5343850453493,1361.4471175526587,90.87575
2e25304d-Audio_SP12,H1,a,a,978.7932315082896,1563.9928863037337,91.15575
2e25304d-Audio_SP12,H1,a,a,680.3671423013734,1831.4252684360424,103.36275
2e25304d-Audio_SP12,H1,a,a,969.4928717497488,1708.1769837438926,103.54775
2e25304d-Audio_SP12,H1,a,a,798.1245225512798,1919.1899138777328,103.81875
2e25304d-Audio_SP12,H1,a,a,741.3857534906466,1366.3395462714666,104.50375
2e25304d-Audio_SP12,H1,a,a,736.1405827572812,1399.7849555336136,104.80375
2e25304d-Audio_SP12,H1,a,a,651.6646173326361,1441.4990456426815,105.76375
2e25304d-Audio_SP12,H1,a,a,613.5070957826994,1850.4206752444964,106.20575
2e25304d-Audio_SP12,H1,a,a,765.7349808944089,1618.7423976567404,106.47775
2e25304d-Audio_SP12,H1,a,a,731.5816990376679,1697.797347705871,107.28775
2e25304d-Audio_SP12,H1,a,a,774.4185434925329,1862.69885133414,108.65375
2e25304d-Audio_SP12,H1,a,a,919.6958087152713,1445.7100191640104,108.83575
2e25304d-Audio_SP12,H1,a,a,715.1436208068199,1912.1185939940624,109.94375
2e25304d-Audio_SP12,H1,a,a,846.9818564451094,1510.75565591671,110.29075
2e25304d-Audio_SP12,H1,a,a,570.047171391626,2118.4738679299817,110.75275
2e25304d-Audio_SP12,H1,a,a,850.2745730883737,1619.7625439749163,113.23375
2e25304d-Audio_SP12,H1,a,a,807.6539923062276,1942.7124700489928,134.54375000000002
2e25304d-Audio_SP12,H1,a,a,814.2337398719296,1796.74179794562,136.30075
2e25304d-Audio_SP12,H1,a,a,675.8645470725874,1405.660463512134,137.24575
2e25304d-Audio_SP12,H1,a,a,776.6730712087418,1807.4912131727328,137.60775
2e25304d-Audio_SP12,H1,a,a,899.4713240732099,1514.989689103532,158.26275
2e25304d-Audio_SP12,H1,a,a,848.6930239607213,1456.3309474255873,161.55375
2e25304d-Audio_SP12,H1,a,a,762.7208336771669,1834.049648772552,161.84275
2e25304d-Audio_SP12,H1,a,a,802.3697068113172,1470.4582376537674,162.02274999999997
2e25304d-Audio_SP12,H1,a,a,810.491516240108,1959.3235739246416,162.46274999999997
2e25304d-Audio_SP12,H1,a,a,720.1361806614055,1241.1170362961875,162.87375000000003
2e25304d-Audio_SP12,H1,a,a,782.5255683938772,1368.2289726506283,163.11375
2e25304d-Audio_SP12,H1,a,a,774.827197825047,2230.199821864059,166.30775
2e25304d-Audio_SP12,H1,a,a,819.2025778405776,1690.0888474988326,171.40275
2e25304d-Audio_SP12,H1,a,a,669.207945260601,1537.7596089475437,171.88875
2e25304d-Audio_SP12,H1,a,a,819.8025342378622,1557.821071983572,174.35575
2e25304d-Audio_SP12,H1,a,a,755.363331324688,1267.816980913061,174.45575
2e25304d-Audio_SP12,H1,a,a,480.4714997359893,1822.486794558828,190.18575
2e25304d-Audio_SP12,H1,a,a,710.9028110930584,1750.728081645885,203.88575
