half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,333.0752455574328,203.0632793699669,1.6402534549370364,True
H1,i,u,i-u,1168.312415585612,318.42602359140733,3.669023035267833,True
H1,e,a,e-a,418.10459305415657,195.69807164777734,2.136477838201045,True
H1,a,o,a-o,254.41201902946855,209.75319263816718,1.212911306996598,True
H1,o,u,o-u,210.0872431393037,323.82199370896467,0.6487738548361845,True
H2,i,e,i-e,328.02283399137366,246.68572237429117,1.329719575313205,True
H2,i,u,i-u,1049.8505929857577,326.4154664133991,3.216301618674348,True
H2,e,a,e-a,416.01406300640394,227.6607764946355,1.8273418434738875,True
H2,a,o,a-o,276.7774498619415,248.35179431232638,1.11445721835159,True
H2,o,u,o-u,89.53165559649126,329.6081505788373,0.2716305875302578,True
