half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,333.0752455574328,203.0632793699669,1.6402534549370364,True
H1,i,a,i-a,751.0372100722627,201.32275259515706,3.7305133194882085,False
H1,i,o,i-o,976.5478868374825,216.64109029390227,4.507676200819827,False
H1,i,u,i-u,1168.312415585612,318.42602359140733,3.669023035267833,True
H1,e,a,e-a,418.10459305415657,195.69807164777734,2.136477838201045,True
H1,e,o,e-o,646.848881895805,211.42432815997898,3.0594817896564495,False
H1,e,u,e-u,844.1239854216369,314.90001116926504,2.680609575996183,False
H1,a,o,a-o,254.41201902946855,209.75319263816718,1.212911306996598,True
H1,a,u,a-u,464.3789176824504,313.7804524160306,1.4799485248582231,False
H1,o,u,o-u,210.0872431393037,323.82199370896467,0.6487738548361845,True
H2,i,e,i-e,328.02283399137366,246.68572237429117,1.329719575313205,True
H2,i,a,i-a,743.5741574035608,244.0986225361124,3.0462038240037796,False
H2,i,o,i-o,982.0348081241685,265.9004140789133,3.6932428688611316,False
H2,i,u,i-u,1049.8505929857577,326.4154664133991,3.216301618674348,True
H2,e,a,e-a,416.01406300640394,227.6607764946355,1.8273418434738875,True
H2,e,o,e-o,657.8370775758783,250.89504147641193,2.621961254015956,False
H2,e,u,e-u,729.7049822819594,314.3125010940382,2.3215907090620016,False
H2,a,o,a-o,276.7774498619415,248.35179431232638,1.11445721835159,True
H2,a,u,a-u,363.5739432888485,312.2861512214261,1.164233322120829,False
H2,o,u,o-u,89.53165559649126,329.6081505788373,0.2716305875302578,True
