half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,333.0752455574328,208.48935439085963,203.0632793699669,1.6402534549370364,0.6096618769435157,0.18468604291857335,0.3234112874054523,462
H1,e,i,333.0752455574328,197.4881767667447,203.0632793699669,1.6402534549370364,0.6096618769435157,0.13375875562647507,0.2452048443475538,455
H1,a,o,254.41201902946855,193.8914400654763,209.75319263816718,1.212911306996598,0.824462591973186,0.1333330158726468,0.19683894459760803,452
H1,o,u,210.0872431393037,224.49702250396098,323.82199370896467,0.6487738548361845,1.5413691420294675,0.04128249414634423,0.11170401241539551,429
H1,u,o,210.0872431393037,399.1521691111718,323.82199370896467,0.6487738548361845,1.5413691420294675,-0.23829999260887297,-0.22774389271488854,53
H2,i,e,328.02283399137366,261.93234621408055,246.68572237429117,1.329719575313205,0.7520382632288901,0.17425650160314343,0.30094107832155176,393
H2,e,i,328.02283399137366,230.43250042786664,246.68572237429117,1.329719575313205,0.7520382632288901,0.09293519883765372,0.2082422616293132,368
H2,a,o,276.7774498619415,224.85488888356863,248.35179431232638,1.11445721835159,0.8972977908287181,0.13256958174987538,0.2752312343304253,354
H2,o,u,89.53165559649126,269.81013031660274,329.6081505788373,0.2716305875302578,3.6814705188111656,-0.007090772714973254,0.0029451847187030797,348
H2,u,o,89.53165559649126,380.1125615321609,329.6081505788373,0.2716305875302578,3.6814705188111656,-0.27645275873227093,-0.31388303098037335,53
