center_f1,center_f2,cov_00_f2,cov_01,cov_11_f1,det_cov,region_level,chi2_q,width_f2_axis,height_f1_axis,angle_degrees,ellipse_area_analytic,raw_n_tokens,filtered_n_tokens,removed_outliers,removed_outliers_percent,audio,half,vowel
386.61671882375333,2161.171851826538,53418.4174467338,-2208.344851766408,2593.6344137004176,133671058.83094007,0.8,3.218875824868201,830.073568271571,179.33552296230673,177.5167277371357,116915.68807983705,462,432,30,6.493506493506493,30a90cb2-Audio_SP21,H1,i
458.284599255236,1823.647373933777,40187.32167393424,-1265.2622313041347,1929.2095758316673,75928877.28641675,0.8,3.218875824868201,719.7014469847948,155.88894853934661,178.10788513059643,88116.57028453553,455,429,26,5.714285714285714,30a90cb2-Audio_SP21,H1,e
560.8010095473373,1435.4281364745966,41114.42569228834,545.0078409921471,4159.599937944825,170722529.01153705,0.8,3.218875824868201,727.6485354880542,231.2000760911925,-179.15524975784948,132129.41544905902,452,436,16,3.5398230088495577,30a90cb2-Audio_SP21,H1,a
480.9878244299615,1196.5896573229884,68481.92110512084,4383.538034734653,2678.5175125148744,164214619.26876298,0.8,3.218875824868201,941.0007804052475,175.339651790506,-176.2055490254707,129586.5729690087,429,412,17,3.9627039627039626,30a90cb2-Audio_SP21,H1,o
400.99947980270326,975.7957593681966,205011.28637831946,12677.13253064099,3380.999893193122,532433448.14904726,0.8,3.218875824868201,1627.8346602570443,182.50996778086983,-176.4164424053024,233338.69311912812,53,52,1,1.8867924528301887,30a90cb2-Audio_SP21,H1,u
389.28409930403865,2166.19324558356,85703.79178964141,-3603.271101216862,3221.992791390404,263153436.71218342,0.8,3.218875824868201,1051.428718332863,198.65015239409288,177.50333664340246,164043.34596110386,393,363,30,7.633587786259542,30a90cb2-Audio_SP21,H2,i
463.16835420475996,1835.4670858661084,53604.122996070495,-1381.0384485431136,2089.3604113288293,110091065.2756365,0.8,3.218875824868201,831.0574102796602,162.55832857890843,178.46544998939666,106103.60330606744,368,340,28,7.608695652173914,30a90cb2-Audio_SP21,H2,e
586.3202366316975,1472.0208206404095,42918.77389053388,13.612074785322093,4386.07611892947,188244823.92642426,0.8,3.218875824868201,743.3712913141836,237.64022308480202,-179.9797596755237,138744.449332576,354,326,28,7.909604519774012,30a90cb2-Audio_SP21,H2,a
482.1822678954274,1188.2386858695386,107296.35104054304,12703.219258783178,4530.27843527601,324710565.76605743,0.8,3.218875824868201,1183.8128480925964,195.98795237393136,-173.05672325147714,182222.62813858743,348,347,1,0.28735632183908044,30a90cb2-Audio_SP21,H2,o
425.2291646204458,1103.1862256551562,210507.15487549797,13547.26013280387,3161.7823417734585,482049547.9964636,0.8,3.218875824868201,1649.7678206707112,171.35122997876917,-176.27757530687867,222024.0067316793,53,51,2,3.7735849056603774,30a90cb2-Audio_SP21,H2,u
