audio,half,vowel_raw,vowel,f1,f2,token_time
30a90cb2-Audio_SP21,H1,y,i,442.5056410109096,2214.598689036601,39.52075000000001
30a90cb2-Audio_SP21,H1,y,i,395.78486821126455,2171.155726223319,40.13275
30a90cb2-Audio_SP21,H1,y,i,444.6551179235378,1814.0646400904263,41.47775
30a90cb2-Audio_SP21,H1,y,i,252.9427288409049,1908.4781033739769,44.41775
30a90cb2-Audio_SP21,H1,y,i,355.530142961329,2115.569945216861,52.09275
30a90cb2-Audio_SP21,H1,y,i,382.07997748834464,1913.2880160417524,63.45575
30a90cb2-Audio_SP21,H1,y,i,255.9502633195452,2229.374106667614,77.49375
30a90cb2-Audio_SP21,H1,y,i,316.38600002708847,2577.635006882557,77.61874999999999
30a90cb2-Audio_SP21,H1,y,i,388.6080794789024,2154.7449433794623,79.19575
30a90cb2-Audio_SP21,H1,y,i,378.6335727712904,2150.3620877151484,82.06375
30a90cb2-Audio_SP21,H1,y,i,302.1037780461667,1889.3680568242007,88.28375
30a90cb2-Audio_SP21,H1,y,i,450.5176316220372,1879.97248053834,92.35875
30a90cb2-Audio_SP21,H1,y,i,458.7034015137146,1991.780582696132,183.25875
30a90cb2-Audio_SP21,H1,y,i,371.92672531236656,2202.133897997476,220.35075
30a90cb2-Audio_SP21,H1,y,i,406.0395803758639,1652.5078609175798,223.00375000000005
30a90cb2-Audio_SP21,H1,y,i,320.45698700256827,2126.66279096174,223.08075
30a90cb2-Audio_SP21,H1,y,i,510.96790627668935,1799.3217121613668,245.04775
30a90cb2-Audio_SP21,H1,y,i,393.1754078550375,2333.100277319509,281.54575
30a90cb2-Audio_SP21,H1,y,i,247.14252299144889,2236.5173280391623,284.42575
30a90cb2-Audio_SP21,H1,y,i,380.1468747202785,2128.0792605806164,284.58375
30a90cb2-Audio_SP21,H1,y,i,282.8133459123746,2129.0342445239426,289.25875
30a90cb2-Audio_SP21,H1,y,i,385.0425219466893,2204.261750082235,304.06275000000005
30a90cb2-Audio_SP21,H1,y,i,395.3270672501972,1864.3717194804613,305.77375
30a90cb2-Audio_SP21,H1,y,i,441.1148817377809,1847.283559385743,307.68575
30a90cb2-Audio_SP21,H1,y,i,451.0691440821545,2016.3872580970865,322.75775
30a90cb2-Audio_SP21,H1,y,i,306.28857231900616,2291.3211324646686,326.54374999999993
30a90cb2-Audio_SP21,H1,y,i,367.1531239241657,2113.8524209776688,333.43775000000005
30a90cb2-Audio_SP21,H1,y,i,369.0423957271809,1960.969609350933,335.50075
30a90cb2-Audio_SP21,H1,y,i,359.8809656726222,2170.689002146557,336.28375
30a90cb2-Audio_SP21,H1,y,i,414.5372897750116,1978.1788175883512,344.34275
30a90cb2-Audio_SP21,H1,y,i,370.1376690522618,1946.815259493184,355.72574999999995
30a90cb2-Audio_SP21,H1,y,i,377.007403125707,2038.293536353335,356.32375
30a90cb2-Audio_SP21,H1,y,i,391.9936101497341,1955.6191195452263,359.69875
30a90cb2-Audio_SP21,H1,y,i,391.04529464114046,1967.9606705698943,360.02275000000003
30a90cb2-Audio_SP21,H1,y,i,360.6147259336345,2171.284078833153,365.60575
30a90cb2-Audio_SP21,H1,y,i,388.9860141510437,2033.212078261109,377.83875
30a90cb2-Audio_SP21,H1,y,i,365.647679175,1941.073378973393,386.15775
30a90cb2-Audio_SP21,H1,y,i,485.0050434723985,2233.6598024692103,388.04575
30a90cb2-Audio_SP21,H1,y,i,482.7689275224532,1968.865895401944,405.01375
30a90cb2-Audio_SP21,H1,y,i,317.4458263933231,2007.712805013704,428.23575
30a90cb2-Audio_SP21,H1,y,i,373.3306358612524,2055.5720539340414,430.65375
30a90cb2-Audio_SP21,H1,y,i,286.6758776188274,2061.082023767621,436.17375
30a90cb2-Audio_SP21,H1,y,i,334.5260695006678,2219.0099474922235,441.23375
30a90cb2-Audio_SP21,H1,y,i,320.272579413143,2174.781604839028,448.75375
30a90cb2-Audio_SP21,H1,y,i,424.9644515479988,2494.855889824505,455.65875
30a90cb2-Audio_SP21,H1,y,i,332.7301534394828,2531.917396408486,468.59875
30a90cb2-Audio_SP21,H1,y,i,407.2317036458653,2135.445974756184,490.75775
30a90cb2-Audio_SP21,H1,y,i,459.4772680481154,1878.94100544123,493.21275
30a90cb2-Audio_SP21,H1,y,i,439.3188962841305,1989.095536086481,521.00275
30a90cb2-Audio_SP21,H1,y,i,329.558808480716,2057.3185936507416,524.17575
30a90cb2-Audio_SP21,H1,y,i,373.56840161007966,2308.9904462704744,537.5937500000001
30a90cb2-Audio_SP21,H1,y,i,362.114860524759,2808.39855083644,548.76575
30a90cb2-Audio_SP21,H1,y,i,345.8622889248438,2029.870153877304,571.81275
30a90cb2-Audio_SP21,H1,y,i,470.71831247633617,1994.1032387928817,645.74875
30a90cb2-Audio_SP21,H1,y,i,417.5509617735543,1947.225400451468,652.56075
30a90cb2-Audio_SP21,H1,y,i,417.8231206912002,1968.9765796722456,653.16575
30a90cb2-Audio_SP21,H1,y,i,433.5831797694675,2028.1825357388725,682.19075
30a90cb2-Audio_SP21,H1,y,i,437.0060837663134,2010.1305419821688,692.0377500000001
30a90cb2-Audio_SP21,H1,y,i,385.12139689236267,1898.4788902633009,698.73575
30a90cb2-Audio_SP21,H1,y,i,394.2441711649909,2117.048527846552,702.16775
30a90cb2-Audio_SP21,H1,y,i,341.6264159273305,1857.2545761990784,721.8437500000001
30a90cb2-Audio_SP21,H1,y,i,314.53675109707854,2217.7927290244274,732.8687500000001
30a90cb2-Audio_SP21,H1,y,i,395.7402466573983,2139.0447072554125,749.17375
30a90cb2-Audio_SP21,H1,y,i,300.0518380274054,2199.896856900553,754.7487500000001
30a90cb2-Audio_SP21,H1,y,i,425.1122058388047,2270.816710876053,769.07275
30a90cb2-Audio_SP21,H1,y,i,350.92535787860976,2806.750549763304,769.28075
30a90cb2-Audio_SP21,H1,y,i,446.18085960832417,1896.3928480197,795.87075
30a90cb2-Audio_SP21,H1,y,i,327.91429227657903,2296.5174181146144,802.10775
30a90cb2-Audio_SP21,H1,y,i,282.33930898988314,1843.6735522712856,803.1287500000001
30a90cb2-Audio_SP21,H1,y,i,362.1877187297424,2245.446857757936,813.9327499999999
30a90cb2-Audio_SP21,H1,y,i,264.1037241717707,2090.333956685567,818.7587500000001
30a90cb2-Audio_SP21,H1,y,i,387.9714076609293,2106.9730407304505,826.71275
30a90cb2-Audio_SP21,H1,y,i,326.2293375350934,2008.4284307085088,874.74075
30a90cb2-Audio_SP21,H1,y,i,386.682815330576,2001.3411950334105,894.76075
30a90cb2-Audio_SP21,H1,y,i,383.9311131426468,1882.749977821593,959.77575
30a90cb2-Audio_SP21,H1,y,i,375.1026449036187,2815.820481086397,962.11275
30a90cb2-Audio_SP21,H1,y,i,410.9073837754305,1998.3953753722087,973.56275
30a90cb2-Audio_SP21,H1,y,i,451.8572482480485,2533.1427080043027,979.43575
30a90cb2-Audio_SP21,H1,y,i,530.4277200905126,1771.5749475869754,1001.94775
30a90cb2-Audio_SP21,H1,y,i,412.6046700987997,2046.969512113169,1002.09075
30a90cb2-Audio_SP21,H1,y,i,276.250197523331,2167.8291603035086,1013.69375
30a90cb2-Audio_SP21,H1,y,i,351.8959152204873,2603.054747883864,1049.24775
30a90cb2-Audio_SP21,H1,y,i,407.37635792688815,2071.3890716358733,1100.3237499999998
30a90cb2-Audio_SP21,H1,y,i,431.72251223522096,2025.0202715333985,1107.37575
30a90cb2-Audio_SP21,H1,y,i,470.627299894025,2227.5574948347385,1110.43375
30a90cb2-Audio_SP21,H1,y,i,425.4650692246991,2097.4835942364784,1124.08075
30a90cb2-Audio_SP21,H1,y,i,471.01809393882377,1830.1683431914205,1134.15775
30a90cb2-Audio_SP21,H1,y,i,472.9902952132626,1980.5772858958665,1142.87875
30a90cb2-Audio_SP21,H1,y,i,375.7339067814632,2403.938193106827,1146.04775
30a90cb2-Audio_SP21,H1,y,i,384.2221640807569,1829.023774485828,1163.01875
30a90cb2-Audio_SP21,H1,y,i,386.0843568887585,2203.141430047596,1231.79375
30a90cb2-Audio_SP21,H1,y,i,376.9836730953341,2279.63386095924,1274.15875
30a90cb2-Audio_SP21,H1,y,i,379.6814998691775,1998.7425684946484,1292.3437499999998
30a90cb2-Audio_SP21,H1,y,i,464.88972904620647,1977.4403884279093,1293.5727499999998
30a90cb2-Audio_SP21,H1,y,i,384.6280535628091,2000.612435468434,1344.90775
30a90cb2-Audio_SP21,H1,y,i,400.154623275297,2120.913669928698,1351.38575
30a90cb2-Audio_SP21,H1,y,i,413.1951653901103,2174.798228377448,1374.94775
30a90cb2-Audio_SP21,H1,y,i,383.1018624908197,2305.2132033056,1377.32075
30a90cb2-Audio_SP21,H1,y,i,392.7217292972898,1538.091387618982,1378.71575
30a90cb2-Audio_SP21,H1,y,i,368.8284454842837,2315.2688167284978,1382.17775
30a90cb2-Audio_SP21,H1,y,i,349.48243244907496,2071.2573953973547,1398.95375
30a90cb2-Audio_SP21,H1,y,i,415.200378161821,2084.0145688540483,1413.75275
30a90cb2-Audio_SP21,H1,y,i,341.379155011742,1821.089492430322,1418.95875
30a90cb2-Audio_SP21,H1,y,i,358.2430634280012,2361.807249874724,1458.46775
30a90cb2-Audio_SP21,H1,y,i,407.1405959786953,1675.8267250423687,1494.6437499999995
30a90cb2-Audio_SP21,H1,y,i,412.206860437874,2260.504799699548,1494.85875
