half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,318,326.05188115777844,1817.0541496494225,359.2623072165818,1826.1033142541328,121.72980718558173,233.85477271403934,76.69467621778483,130.22471367935213,155.58404969423395,87.90107305613705
H1,e,324,442.02383015722796,1653.9855438174723,447.5675990324074,1647.289760702406,71.96454278874675,131.7829793290583,69.38354648576473,149.22221125253873,118.24387747870064,93.51776528093677
H1,a,321,585.0386589279836,1434.882010384387,590.2972518471884,1409.0879836958482,89.82122897005893,167.67901910004878,122.74659131971566,233.57675818265648,166.83636293252488,150.86461755987824
H1,o,254,472.8458963261267,1102.3018882883127,480.79428093363634,1151.9695955189093,78.26936246311101,233.9819907273306,59.256833591553914,285.591950107339,190.32315094885593,150.68061168196004
H1,u,69,394.9397487686278,921.6949299652688,414.5017443404862,1046.8052400432014,99.80777349748422,303.9560787551319,61.170668267830536,233.41664600282934,218.04796260824995,124.47260531851684
H2,i,201,327.9479650125833,1795.7011296694477,347.4439774197637,1798.2977372645742,104.52616321758201,143.70509733348584,70.73635058281269,130.06860265426417,126.81539308872051,84.24286602778194
H2,e,265,441.8617571454828,1626.5537338931197,446.56682920630146,1624.9573183405716,76.73627236982341,149.36302549713812,75.33974832853056,156.00427147137543,125.5775823048079,93.5858793579162
H2,a,254,581.9885437949674,1343.5611609587868,593.9030104135549,1346.2780312223235,106.27809873971023,164.1756810866126,138.25260680515555,214.93338787379298,169.7360310094371,148.3444564125711
H2,o,250,477.31809021371913,1127.5092253010405,480.63189512292763,1152.2234767701057,79.58940076989121,222.11959081430882,70.37690144207062,323.0925166387299,189.46694535384734,172.9473489171069
H2,u,51,387.4630207766406,1008.7068586736276,409.881430666238,1052.9087763222685,111.36252675231232,194.0699901510256,51.74495212844471,265.16339743755316,177.45197738091073,144.23120573723526
