half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,200.10213182949067,138.1810607146577,1.4481154710680597,True
H1,i,u,i-u,898.0053844924241,189.40869900411997,4.7410989527618845,True
H1,e,a,e-a,261.6478542071226,144.59596563831082,1.809510058265407,True
H1,a,o,a-o,350.99395093601873,178.96546284640252,1.9612384722367355,True
H1,o,u,o-u,196.69326684447674,204.6555835846041,0.9610940654505243,True
H2,i,e,i-e,203.92938369938545,126.19800533639092,1.6159477573024652,True
H2,i,u,i-u,789.2414234205154,154.2260487087735,5.117432690704845,True
H2,e,a,e-a,315.785231878731,149.2984417205307,2.115127447008752,True
H2,a,o,a-o,240.0715367434532,179.87223744168298,1.3346781035138213,True
H2,o,u,o-u,148.95615401794058,183.55779424763338,0.8114945738397108,True
