audio,half,vowel_raw,vowel_norm,f1,f2,token_time
3361ee02-Audio_SP10,H1,i,i,362.8056246080597,1726.3935035572283,15.22275
3361ee02-Audio_SP10,H1,i,i,373.9605593401496,1734.3601894003298,17.85275
3361ee02-Audio_SP10,H1,i,i,292.0429732790593,1774.5590913871197,18.40075
3361ee02-Audio_SP10,H1,i,i,331.1239745525215,1700.5205466324694,18.71275
3361ee02-Audio_SP10,H1,i,i,304.28256120006114,1794.0929963749895,20.67575
3361ee02-Audio_SP10,H1,i,i,342.922928746782,1580.0560722436967,21.71575
3361ee02-Audio_SP10,H1,i,i,311.66721945920006,1827.5000986125683,22.15375
3361ee02-Audio_SP10,H1,i,i,373.2583274676275,1912.688527858404,29.55275
3361ee02-Audio_SP10,H1,i,i,277.1504416776156,1927.4776782526087,30.69275
3361ee02-Audio_SP10,H1,i,i,285.8626362088065,1062.8785660005788,33.11075
3361ee02-Audio_SP10,H1,i,i,395.721651309235,2202.676984074695,33.765750000000004
3361ee02-Audio_SP10,H1,i,i,684.2966399943923,1989.57260870172,37.13275
3361ee02-Audio_SP10,H1,i,i,401.6576616113425,1598.0035050576332,45.13275
3361ee02-Audio_SP10,H1,i,i,353.51911349078495,1953.5540248866416,51.56275
3361ee02-Audio_SP10,H1,i,i,753.3746227252086,3010.195429058901,80.72375
3361ee02-Audio_SP10,H1,i,i,301.4474522844258,1884.5515127571248,81.21375
3361ee02-Audio_SP10,H1,i,i,642.2432259059742,2773.334146382429,84.53575
3361ee02-Audio_SP10,H1,i,i,349.14729672446174,1885.043773123248,85.50874999999999
3361ee02-Audio_SP10,H1,i,i,294.37462354055884,1836.304747176072,85.67375
3361ee02-Audio_SP10,H1,i,i,304.9827905482999,1834.9623480863368,90.59075
3361ee02-Audio_SP10,H1,i,i,335.8379891466806,1939.063385431188,90.79975
3361ee02-Audio_SP10,H1,i,i,298.20876303468754,1788.824064485439,94.39575
3361ee02-Audio_SP10,H1,i,i,357.8835708971612,1878.937920366634,96.56575
3361ee02-Audio_SP10,H1,i,i,459.2098154183135,1790.3434263412396,96.82775
3361ee02-Audio_SP10,H1,i,i,240.859490731185,1901.1436570326573,97.05375
3361ee02-Audio_SP10,H1,i,i,317.10350361290347,1882.5061311773604,97.23775
3361ee02-Audio_SP10,H1,i,i,261.0380788753173,1873.8054743703208,99.44775
3361ee02-Audio_SP10,H1,i,i,316.5419037846936,1867.6952644977944,99.55775
3361ee02-Audio_SP10,H1,i,i,268.87039535794264,1843.6470476826955,99.68775
3361ee02-Audio_SP10,H1,i,i,526.5687485955087,1784.3662044919668,102.07375
3361ee02-Audio_SP10,H1,i,i,246.63631795925835,1869.372209195083,111.23575
3361ee02-Audio_SP10,H1,i,i,359.2528011521116,1933.205893826857,113.29775
3361ee02-Audio_SP10,H1,i,i,293.17171249155507,1947.9295281514208,117.00775
3361ee02-Audio_SP10,H1,i,i,315.50021516340234,2045.6269186655056,123.56075
3361ee02-Audio_SP10,H1,i,i,271.73887538280104,1787.5976199953518,124.61775
3361ee02-Audio_SP10,H1,i,i,296.5688930765128,1914.7221389227911,126.41375
3361ee02-Audio_SP10,H1,i,i,325.0170678293801,1771.7183148082436,131.61575
3361ee02-Audio_SP10,H1,i,i,174.47142873472936,1956.3707212738884,135.39075000000005
3361ee02-Audio_SP10,H1,i,i,286.8421397883308,1843.815519599056,147.07274999999998
3361ee02-Audio_SP10,H1,i,i,198.4578197045032,1623.1271826752277,147.80375
3361ee02-Audio_SP10,H1,i,i,748.0880983611929,2071.7935990010183,149.49575
3361ee02-Audio_SP10,H1,i,i,346.3110213144929,1887.523628754041,149.71275
3361ee02-Audio_SP10,H1,i,i,347.2303849501266,1815.766805583313,154.22575
3361ee02-Audio_SP10,H1,i,i,222.8579775569019,1604.819850631999,157.08375
3361ee02-Audio_SP10,H1,i,i,306.5073942673965,1869.1118665550464,159.86775000000003
3361ee02-Audio_SP10,H1,i,i,367.4443598255132,2726.062743947627,161.53375000000003
3361ee02-Audio_SP10,H1,i,i,776.371052820601,2773.6636993229395,162.96575
3361ee02-Audio_SP10,H1,i,i,324.16460106854475,1901.17196489646,163.42575000000002
3361ee02-Audio_SP10,H1,i,i,309.2708234628451,1849.8805337932013,169.97475
3361ee02-Audio_SP10,H1,i,i,347.93956922728967,1839.2991907599608,172.41875
3361ee02-Audio_SP10,H1,i,i,340.8253815056571,1802.4813162046776,189.64575
3361ee02-Audio_SP10,H1,i,i,349.6596001619568,1777.471701565668,198.55375
3361ee02-Audio_SP10,H1,i,i,317.56254392890594,1759.6630910336842,202.23275
3361ee02-Audio_SP10,H1,i,i,253.4401915715483,1895.1167262701176,202.98575
3361ee02-Audio_SP10,H1,i,i,316.84688993811056,1802.043582845344,206.57775
3361ee02-Audio_SP10,H1,i,i,288.08613569748627,1798.5042167220972,213.22375
3361ee02-Audio_SP10,H1,i,i,358.20095374956776,1807.295869223752,239.66875
3361ee02-Audio_SP10,H1,i,i,221.42954352335323,1882.9050129182929,241.41575
3361ee02-Audio_SP10,H1,i,i,299.2898069289537,1856.477689617928,242.21275
3361ee02-Audio_SP10,H1,i,i,666.7791452347387,2222.888017066387,256.75575
3361ee02-Audio_SP10,H1,i,i,386.8253813955632,1789.992325212378,259.32575
3361ee02-Audio_SP10,H1,i,i,328.9868298063324,1846.2887673103328,262.87075
3361ee02-Audio_SP10,H1,i,i,308.2061850445755,1973.177252813833,263.43375000000003
3361ee02-Audio_SP10,H1,i,i,314.6613852091209,1724.8602331553382,264.48074999999994
3361ee02-Audio_SP10,H1,i,i,339.5748351525154,1862.59745415146,274.79574999999994
3361ee02-Audio_SP10,H1,i,i,350.42969727100336,1738.51564000066,286.33075
3361ee02-Audio_SP10,H1,i,i,365.0240164408092,1811.1580416237464,301.37375
3361ee02-Audio_SP10,H1,i,i,681.5558836817783,1875.5876876549949,306.97374999999994
3361ee02-Audio_SP10,H1,i,i,373.754694608644,1831.771281770872,308.90374999999995
3361ee02-Audio_SP10,H1,i,i,1086.5810136209573,2188.094388818559,309.20275000000004
3361ee02-Audio_SP10,H1,i,i,301.25541719877225,1904.003624114408,313.96775
3361ee02-Audio_SP10,H1,i,i,282.75944785885764,1915.3725024697528,315.99775
3361ee02-Audio_SP10,H1,i,i,399.6030003240076,1609.6888876849205,319.29374999999993
3361ee02-Audio_SP10,H1,i,i,290.325027070562,1859.495731066556,333.17774999999995
3361ee02-Audio_SP10,H1,i,i,261.3873030765477,1844.375367626389,334.33775
