F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,B1_Hz,B2_Hz,B3_Hz,_source_file,_audio_id,_token_time,_audio_duration,_split_time,_time_basis,_split_basis,half
362.8056246080597,1726.3935035572283,2647.151456572198,3.147334624843042,3.2881168776482426,3.6011216820816405,5512.820512820513,0.008830560722885,15.22275,0.065,0.3350515463917525,0-0-1-2,i,3361ee02-Audio_SP10.v0,group_0,1,fave,-1159.0678920384996,71.19214093970125,10,Así,,0.1699999999999999,[silence],mismo,s,#,s,m,final,23.273948032873687,26.79236282390934,36.63930905949685,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,15.22275,2392.92,1196.46,time column: time,audio_duration,H1
373.9605593401496,1734.3601894003298,2749.633689183446,2.7640542176168847,3.1115390018524964,4.907693861456051,5692.307692307692,6.66879877058e-05,17.85275,0.025,0.3378378378378378,0-0-8-5,i,3361ee02-Audio_SP10.v0,group_0,1,fave,93.60666889414672,78.38955160105169,10,estudiante,,0.0500000000000007,mismo,universitario,d,á,d,á,internal,15.86402897402638,22.455576995661826,135.3269715335688,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,17.85275,2392.92,1196.46,time column: time,audio_duration,H1
292.0429732790593,1774.5590913871197,2662.8852466728194,3.26708513028097,3.494975795403285,4.005826094177245,5512.820512820513,0.0009170374632808,18.40075,0.041,0.3306451612903226,0-0-9-7,i,3361ee02-Audio_SP10.v0,group_0,1,fave,107.23997887266336,75.97747796802167,10,universitario,,0.1000000000000014,estudiante,[silence],s,t,s,t,internal,26.23475688511456,32.94949041422516,54.91717242199087,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,18.40075,2392.92,1196.46,time column: time,audio_duration,H1
331.1239745525215,1700.5205466324694,2002.6143912523075,3.549149084264934,2.3092943332507283,4.64555815428732,5512.820512820513,4.51945277767e-05,18.71275,0.025,0.3378378378378378,0-0-9-11,i,3361ee02-Audio_SP10.v0,group_0,1,fave,101.79742091882596,76.53475765035247,10,universitario,,0.0500000000000007,estudiante,[silence],R,o,R,o,internal,34.78370688781126,10.067317976284846,104.12146541195088,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,18.71275,2392.92,1196.46,time column: time,audio_duration,H1
304.28256120006114,1794.0929963749895,2756.97668827661,3.113928633489208,2.578371411856891,3.410248071916313,5512.820512820513,0.0002406094164699,20.67575,0.031,0.3297872340425531,0-0-12-1,i,3361ee02-Audio_SP10.v0,group_0,1,fave,107.09332820997965,76.2096608904038,10,siguiendo,,0.0700000000000002,estoy,la,s,g,s,g,internal,22.509301718454363,13.175662948812,30.272753147874862,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,20.67575,2392.92,1196.46,time column: time,audio_duration,H1
342.922928746782,1580.0560722436967,2931.862883240406,4.011701213925498,4.194149142367368,3.704880964681704,6051.282051282051,0.0002603247363977,21.71575,0.031,0.3297872340425531,0-0-16-0,i,3361ee02-Audio_SP10.v0,group_0,1,fave,92.7265487730902,76.87429603218543,10,Ingeniería,,0.0700000000000002,de,Industrial,#,n,e,n,initial,55.2407670339599,66.29729801019897,40.64520881353977,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,21.71575,2392.92,1196.46,time column: time,audio_duration,H1
311.66721945920006,1827.5000986125683,2910.717625092036,2.8316598323841085,3.41608307664772,2.862628976984474,5512.820512820513,2.55172757813e-05,22.15375,0.027,0.3214285714285714,0-0-16-8,i,3361ee02-Audio_SP10.v0,group_0,1,fave,85.66826426829667,77.4251625669449,10,Ingeniería,,0.0599999999999987,de,Industrial,R,a,R,a,internal,16.97361080484282,30.44991116200533,17.507493284770987,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,22.15375,2392.92,1196.46,time column: time,audio_duration,H1
373.2583274676275,1912.688527858404,2875.942424026743,4.304472437664165,4.501811192737637,3.259541776669036,5512.820512820513,0.0003089284594156,29.55275,0.025,0.3378378378378378,0-0-34-2,i,3361ee02-Audio_SP10.v0,group_0,1,fave,96.48459447573296,76.11780941651726,10,veinte,,0.0500000000000007,[silence],años,é,n,é,n,internal,74.03014963026519,90.1803174111356,26.037603371213866,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,29.55275,2392.92,1196.46,time column: time,audio_duration,H1
277.1504416776156,1927.4776782526087,2872.030059804614,3.042039371967812,3.3275619865820447,3.0832112168296373,5333.333333333333,0.0450473467425578,30.69275,0.205,0.3338762214983712,0-0-37-0,i,3361ee02-Audio_SP10.v0,group_0,1,fave,87.00526342199718,72.51217908654463,10,y,,0.5899999999999999,[silence],[silence],#,#,.,.,coextensive,20.947920304544954,27.87031061533871,21.82838564972009,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,30.69275,2392.92,1196.46,time column: time,audio_duration,H1
285.8626362088065,1062.8785660005788,2547.7203455068843,3.805103219213999,4.198756374465996,4.315141421581091,4435.897435897436,0.0204856254999058,33.11075,0.181,0.3327205882352941,0-0-41-1,i,3361ee02-Audio_SP10.v0,group_0,1,fave,87.37601171421525,75.59693618733313,10,mi,,0.519999999999996,[silence],mi,m,#,m,m,final,44.92988750134847,66.6034497641917,74.82420445303138,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,33.11075,2392.92,1196.46,time column: time,audio_duration,H1
395.721651309235,2202.676984074695,2953.606178333668,4.414731256562136,4.032900207929133,4.021170664664698,6410.25641025641,0.0080187368015782,33.765750000000004,0.031,0.3297872340425531,0-0-42-1,i,3361ee02-Audio_SP10.v0,group_0,1,fave,90.3510209518889,77.16094585437408,10,mi,,0.0700000000000002,mi,ingresos,m,#,m,i,final,82.65962368943347,56.42431642799141,55.76635132602055,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,33.765750000000004,2392.92,1196.46,time column: time,audio_duration,H1
684.2966399943923,1989.57260870172,2848.736119844727,4.318078936955771,4.108631794626618,4.419757608313025,5333.333333333333,0.0060697310865244,37.13275,0.025,0.3378378378378378,0-0-52-1,i,3361ee02-Audio_SP10.v0,group_0,1,fave,94.21900891646072,76.67571888393697,10,Microworkers,,0.0500000000000042,plataforma,",",m,k,m,k,internal,75.04432484924963,60.8633869628449,83.07614595046557,3361ee02-Audio_SP10.csv,3361ee02-Audio_SP10,37.13275,2392.92,1196.46,time column: time,audio_duration,H1
