audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
3361ee02-Audio_SP10,H1,i,50361.14984231621,11231.15021875218,22.30121880441091,39129.99962356403,77.69878119558908
3361ee02-Audio_SP10,H1,e,66086.2215864637,35118.3526033331,53.140203449800985,30967.868983130596,46.85979655019902
3361ee02-Audio_SP10,H1,a,141138.36465530147,42513.228349186844,30.121667098110276,98625.13630611463,69.87833290188973
3361ee02-Audio_SP10,H1,o,107094.16890437993,54708.92757826777,51.08487991266375,52385.241326112155,48.91512008733624
3361ee02-Audio_SP10,H1,u,81350.94039386338,34204.953919309664,42.046169046977454,47145.98647455371,57.953830953022546
3361ee02-Audio_SP10,H2,i,54718.473537723294,11959.103000770016,21.855695576970597,42759.370536953276,78.1443044230294
3361ee02-Audio_SP10,H2,e,64311.44536253542,33227.24208523721,51.66614107011458,31084.203277298213,48.33385892988542
3361ee02-Audio_SP10,H2,a,157888.5531842757,65393.1053286876,41.41725540569471,92495.44785558809,58.58274459430528
3361ee02-Audio_SP10,H2,o,118029.38343156796,86316.46529894379,73.13133627355518,31712.918132624167,26.868663726444815
3361ee02-Audio_SP10,H2,u,84105.82274312027,38392.16842361386,45.64745599228358,45713.65431950641,54.35254400771642
