half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,374.1562202773935,414.41746302439714,0.9028485854500938,True
H1,i,u,i-u,1164.9080088791832,390.48770546811573,2.9832130245501434,True
H1,e,a,e-a,408.38009521122495,227.1580084884997,1.797779871062305,True
H1,a,o,a-o,293.20411162819,183.75781446321847,1.5956007774944376,True
H1,o,u,o-u,302.6031488617409,217.22437745702473,1.393044152798216,True
H2,i,e,i-e,429.99803666449185,402.7334988240397,1.0676987087492427,True
H2,i,u,i-u,1071.219854778338,383.3747063077132,2.7941850026968926,True
H2,e,a,e-a,414.05573959852325,245.65820038368034,1.685495289600884,True
H2,a,o,a-o,308.15847701296383,182.8088214415037,1.6856871270381788,True
H2,o,u,o-u,179.98456332277706,237.32043742555177,0.7584031332288389,True
