half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,304,359.0825482650732,2014.871892992474,369.422886347994,2021.573305412678,68.60353531109719,243.2933108147389,89.81906169389856,276.94102535193565,186.3061780101775,149.63079943900988
H1,e,472,430.7210347592677,2144.6250093558733,438.3932347027971,2080.192218597686,54.04486190324156,309.5688528331638,64.83297977747117,409.24299079832076,248.41325383601293,195.51765085949887
H1,a,432,538.690023218262,1260.582964467063,535.9508643185408,1384.1984371727,49.36162077419882,454.86808366364045,65.25121641592932,399.9934782891087,334.9868870805244,202.9757824551815
H1,o,510,467.3907106457084,974.9937784374565,468.0210286315434,996.0645743679569,46.23829421954054,197.43689226938235,58.265906338281695,239.1521963634185,159.12871898020504,126.84461174537913
H1,u,111,401.4606967179957,807.5834072185769,403.1961686217186,850.4546197295881,64.07034083381399,218.36263884474,74.98537814977306,235.72683902524705,166.4656980434073,114.4789151759889
H2,i,311,362.83750697633087,2121.841233413812,380.5550481640119,2123.0489502483633,93.67343388379221,237.25365472305216,79.00408301096138,270.8447392172038,197.1751307639532,156.08353667940315
H2,e,415,446.1534690103171,2258.0479582390844,445.84936767739276,2172.4516161367633,54.365245167046204,292.26162939587846,64.518004497672,274.9559281990237,210.57705316193758,132.59506701929922
H2,a,422,536.4736121955898,1211.3394636209086,536.5560190243826,1287.7114104394695,50.288927607985904,357.6071555859186,55.625336879672886,242.63262750327476,237.52302265064318,131.5259732116245
H2,o,487,470.4583402536866,1001.4584899330569,468.4798078880592,1017.5340867721558,45.955429673219975,194.63882985228886,51.750398546312795,239.54148513657844,153.6772914320948,127.04597819666097
H2,u,90,428.23912192650346,873.7279342175659,442.369581328595,912.2390065928568,101.01231520581277,198.6393042300753,83.36208600943087,159.36244056457463,157.33671924834223,103.7330277633161
