half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,148.21586943776546,219.56677417832978,0.6750377874449535,True
H1,i,a,i-a,775.3777355296404,271.04077781826476,2.8607419952489144,False
H1,i,o,i-o,1045.5033004102702,173.2511777291009,6.0346100621898255,False
H1,i,u,i-u,1208.0320340738185,176.66468321348043,6.837993944800165,True
H1,e,a,e-a,890.6108238731706,294.89435328376106,3.0201013141007262,True
H1,e,o,e-o,1170.2059141319307,208.60380375927528,5.60970554248534,False
H1,e,u,e-u,1337.3617361163576,211.44736142415474,6.3247974678372305,False
H1,a,o,a-o,294.3548456376621,262.2385971974578,1.122469570778026,True
H1,a,u,a-u,473.32915283029115,264.5061843709697,1.7894823667580013,False
H1,o,u,o-u,179.92498194567497,162.83853633179083,1.1049287594864508,True
H2,i,e,i-e,159.66784716177557,203.9861852064344,0.7827385320245653,True
H2,i,a,i-a,926.9104432639233,218.28332332186991,4.246363987674617,False
H2,i,o,i-o,1125.5397530273092,176.76925933782582,6.367282169103152,False
H2,i,u,i-u,1249.8256593895921,178.37162809092385,7.0068635509258295,True
H2,e,a,e-a,1050.5981158230086,224.45476337946522,4.680667498452052,True
H2,e,o,e-o,1256.8244979406559,184.33584190312865,6.818123295854404,False
H2,e,u,e-u,1384.4359330566283,185.87299231221994,7.4482899093329475,False
H2,a,o,a-o,220.01827025436813,200.0423657516114,1.0998583696393613,True
H2,a,u,a-u,354.5366690060044,201.45971000789416,1.7598390715052252,False
H2,o,u,o-u,134.52716179101708,155.51776928334695,0.8650275940231251,True
