audio,half,vowel_raw,vowel_norm,f1,f2,token_time
375a28cd-Audio_SP16,H1,o,o,476.3665375250594,1160.2829875375248,1.48375
375a28cd-Audio_SP16,H1,o,o,437.1148497698176,1051.9701857487394,2.20375
375a28cd-Audio_SP16,H1,o,o,497.1438574618018,1204.9494020460197,3.59375
375a28cd-Audio_SP16,H1,o,o,510.7785757869139,1332.5270368381314,58.63575
375a28cd-Audio_SP16,H1,o,o,424.9315853663044,1125.666305241343,58.85775
375a28cd-Audio_SP16,H1,o,o,514.977534686361,1140.1505961676714,59.09575
375a28cd-Audio_SP16,H1,o,o,487.0431846602931,1203.4760681745247,62.22375
375a28cd-Audio_SP16,H1,o,o,469.46889123797104,1001.8356313162644,71.56875000000001
375a28cd-Audio_SP16,H1,o,o,504.7774891888278,1100.689355575828,72.72274999999999
375a28cd-Audio_SP16,H1,o,o,507.3877150168857,975.1177121418766,73.62075
375a28cd-Audio_SP16,H1,o,o,432.4934665572369,1221.7101371016313,78.24575
375a28cd-Audio_SP16,H1,o,o,467.4239596101812,1040.6122543526485,79.52775
375a28cd-Audio_SP16,H1,o,o,532.804121267071,1092.511716415989,86.06075
375a28cd-Audio_SP16,H1,o,o,503.46328845069314,1140.3365583994444,87.20775
375a28cd-Audio_SP16,H1,o,o,458.3630715515444,893.7675234490615,105.06775
375a28cd-Audio_SP16,H1,o,o,441.2370993346052,1256.0144518591092,105.73075
375a28cd-Audio_SP16,H1,o,o,506.399652628145,1361.4180301737829,110.28575
375a28cd-Audio_SP16,H1,o,o,509.6559695439746,1150.01877334283,115.21275
375a28cd-Audio_SP16,H1,o,o,485.5842766579479,1063.674837994644,117.98375
375a28cd-Audio_SP16,H1,o,o,494.95995278310767,1081.2538042360964,118.25375
375a28cd-Audio_SP16,H1,o,o,389.879248293312,1509.0523002692248,121.80375
375a28cd-Audio_SP16,H1,o,o,458.6768946122567,1141.778177219009,181.34975
375a28cd-Audio_SP16,H1,o,o,471.08877867540247,1024.9272194742266,181.99075
375a28cd-Audio_SP16,H1,o,o,473.1157703846776,1133.6417355529336,185.89275
375a28cd-Audio_SP16,H1,o,o,512.5268940991865,1001.6896513136952,189.08575
375a28cd-Audio_SP16,H1,o,o,417.8369911186223,865.3947041349419,193.47575
375a28cd-Audio_SP16,H1,o,o,405.5865840579504,437.5870807148952,202.16375
375a28cd-Audio_SP16,H1,o,o,366.5735422938959,1463.6496034689578,208.61575
375a28cd-Audio_SP16,H1,o,o,483.67516928908697,1132.370986436522,213.92575
375a28cd-Audio_SP16,H1,o,o,487.3128346204184,1218.4654564827258,217.27275
375a28cd-Audio_SP16,H1,o,o,471.42158625671067,1326.224508228379,218.61775
375a28cd-Audio_SP16,H1,o,o,433.8480438974292,1503.5265139875844,225.20375
375a28cd-Audio_SP16,H1,o,o,463.6300070744076,1198.6534327361787,233.19075
375a28cd-Audio_SP16,H1,o,o,478.40214017524806,1336.2678962801422,244.71575
375a28cd-Audio_SP16,H1,o,o,443.90776226155685,852.0716945790784,247.07575000000003
375a28cd-Audio_SP16,H1,o,o,436.1019090691448,1342.334266881698,247.43275
375a28cd-Audio_SP16,H1,o,o,570.9130664487902,1049.6824646145606,248.23275
375a28cd-Audio_SP16,H1,o,o,594.1050224687287,1263.1597197285594,248.79375
375a28cd-Audio_SP16,H1,o,o,526.6973308166961,988.7645837495508,250.04275
375a28cd-Audio_SP16,H1,o,o,438.2737095464484,930.4675863074076,253.20275
375a28cd-Audio_SP16,H1,o,o,496.34315638063447,1081.2292049142925,254.10775
375a28cd-Audio_SP16,H1,o,o,443.9473620435561,798.6592077204538,254.97875
375a28cd-Audio_SP16,H1,o,o,495.7382681311418,939.9147739404916,255.57275
375a28cd-Audio_SP16,H1,o,o,517.1323634931065,945.3981482894628,256.73774999999995
375a28cd-Audio_SP16,H1,o,o,487.0804013749562,971.7901109604958,259.99274999999994
375a28cd-Audio_SP16,H1,o,o,454.7704771996436,897.754538619534,262.56075
375a28cd-Audio_SP16,H1,o,o,460.76691539404,1296.4138944698898,262.79875
375a28cd-Audio_SP16,H1,o,o,559.8080907775677,1036.0766173160112,264.73075
375a28cd-Audio_SP16,H1,o,o,571.2813602853303,1093.7654083351,265.55775
375a28cd-Audio_SP16,H1,o,o,432.505154753283,1185.113254263478,268.98875000000004
375a28cd-Audio_SP16,H1,o,o,471.2237248902439,1156.8131913666489,270.65275
375a28cd-Audio_SP16,H1,o,o,464.4395505076012,882.4019018248225,274.82275
375a28cd-Audio_SP16,H1,o,o,493.5509854256035,1028.9093891384446,280.35374999999993
375a28cd-Audio_SP16,H1,o,o,503.9760472366482,842.1784885629789,287.24575
375a28cd-Audio_SP16,H1,o,o,469.8095527290456,1210.5301385029595,292.19775000000004
375a28cd-Audio_SP16,H1,o,o,418.89405015018434,1189.583363802062,294.86875000000003
375a28cd-Audio_SP16,H1,o,o,511.8894836160454,988.9673647593916,298.30075
375a28cd-Audio_SP16,H1,o,o,420.9445623682262,789.8910178221349,299.88375
375a28cd-Audio_SP16,H1,o,o,484.14720825241136,948.1469454469714,302.18375
375a28cd-Audio_SP16,H1,o,o,465.7978638307277,1199.324471590999,305.09374999999994
375a28cd-Audio_SP16,H1,o,o,434.4309048148933,1202.9409290997828,308.43375
375a28cd-Audio_SP16,H1,o,o,436.8504869817205,801.3579671578046,309.46575
375a28cd-Audio_SP16,H1,o,o,439.49037460161145,1050.5456270231834,311.33275000000003
375a28cd-Audio_SP16,H1,o,o,354.4413715475226,1089.520082264327,313.07275
375a28cd-Audio_SP16,H1,o,o,481.8128407612895,911.002459070365,315.42774999999995
375a28cd-Audio_SP16,H1,o,o,410.0490969087626,1130.598878077523,321.61875
375a28cd-Audio_SP16,H1,o,o,460.5862987807935,1216.4623060928186,324.16374999999994
375a28cd-Audio_SP16,H1,o,o,431.4715754005189,810.029748664071,325.18875
375a28cd-Audio_SP16,H1,o,o,480.16312420007097,1305.378297981324,331.43375
375a28cd-Audio_SP16,H1,o,o,427.1934161802051,873.984473199377,335.65875
375a28cd-Audio_SP16,H1,o,o,432.6295576419017,1205.5482133336563,335.79775
375a28cd-Audio_SP16,H1,o,o,467.8170079808991,899.3842398507743,337.55775000000006
375a28cd-Audio_SP16,H1,o,o,449.8852434932356,1174.4076677798948,339.23074999999994
375a28cd-Audio_SP16,H1,o,o,433.7480400736789,914.735968736388,345.97374999999994
375a28cd-Audio_SP16,H1,o,o,457.8396493756898,1221.5755542266584,346.94375
375a28cd-Audio_SP16,H1,o,o,493.1154921344959,882.9567665062103,349.49775000000005
375a28cd-Audio_SP16,H1,o,o,507.7847319605125,1317.4260292258896,351.37575
375a28cd-Audio_SP16,H1,o,o,429.0383378256929,1321.9387173355683,352.34374999999994
375a28cd-Audio_SP16,H1,o,o,473.6371631375988,1052.5821135610788,352.50775
375a28cd-Audio_SP16,H1,o,o,417.8228787749947,1377.1579241841907,353.38275000000004
375a28cd-Audio_SP16,H1,o,o,437.9652680423199,1357.3955062029638,354.05775000000006
375a28cd-Audio_SP16,H1,o,o,484.1678586934561,1282.2006351816333,355.08375
375a28cd-Audio_SP16,H1,o,o,434.6022656382946,881.3254702902619,360.20275000000004
375a28cd-Audio_SP16,H1,o,o,511.8603636440047,1278.1110381781282,373.28275
375a28cd-Audio_SP16,H1,o,o,473.1859009793096,1183.599322135111,373.59275
375a28cd-Audio_SP16,H1,o,o,384.7100354656168,1141.0427879786694,379.15275
375a28cd-Audio_SP16,H1,o,o,459.0612159714839,835.5351324957994,387.78075
375a28cd-Audio_SP16,H1,o,o,449.2116859115594,904.4263501748568,392.01275
375a28cd-Audio_SP16,H1,o,o,395.9929811510645,834.6939805973603,393.07375
375a28cd-Audio_SP16,H1,o,o,416.8890910539415,917.9568910773676,393.30875
375a28cd-Audio_SP16,H1,o,o,414.9500473122736,985.1633228996265,394.08775
375a28cd-Audio_SP16,H1,o,o,424.8891946646472,1120.9338427840626,397.80375
375a28cd-Audio_SP16,H1,o,o,499.03045274052624,1264.0153284174585,398.47275
375a28cd-Audio_SP16,H1,o,o,452.3744343845184,876.3692567179048,398.63275
375a28cd-Audio_SP16,H1,o,o,538.6566089461843,883.6889857060644,399.29275
375a28cd-Audio_SP16,H1,o,o,460.0734394237695,895.7325143259375,399.95875
375a28cd-Audio_SP16,H1,o,o,419.0284696031949,1151.0194424745896,401.47375
375a28cd-Audio_SP16,H1,o,o,477.5254081716975,954.7851205584234,402.57575
375a28cd-Audio_SP16,H1,o,o,425.5963345664903,1210.3466314058696,406.72875
375a28cd-Audio_SP16,H1,o,o,522.0855996417994,880.9880605321235,412.62575
375a28cd-Audio_SP16,H1,o,o,448.6761414751285,967.7384944734748,416.09875
375a28cd-Audio_SP16,H1,o,o,472.8843401457151,1182.3514752565918,422.89775
375a28cd-Audio_SP16,H1,o,o,454.8400918285522,1247.7387583459235,435.1877500000001
375a28cd-Audio_SP16,H1,o,o,436.9751128336747,744.5395887227672,435.62275000000005
375a28cd-Audio_SP16,H1,o,o,428.3276161098783,845.0645959981578,439.65575
375a28cd-Audio_SP16,H1,o,o,534.7759655256708,1036.8256259807938,440.99775
375a28cd-Audio_SP16,H1,o,o,498.4807394851724,926.2962755125144,443.53875
375a28cd-Audio_SP16,H1,o,o,494.3339102540855,1126.1743860618385,444.63375
375a28cd-Audio_SP16,H1,o,o,437.33697456865286,815.1974586187167,445.10374999999993
375a28cd-Audio_SP16,H1,o,o,445.37063292238304,776.7026359974631,450.87575
375a28cd-Audio_SP16,H1,o,o,454.10019679172734,1065.1801693917262,453.06075
375a28cd-Audio_SP16,H1,o,o,595.0618163944404,1081.9417890207826,453.55875
375a28cd-Audio_SP16,H1,o,o,568.2994242667589,1178.1961631767683,458.71075
375a28cd-Audio_SP16,H1,o,o,476.5100362806132,865.7777454668628,459.12375
375a28cd-Audio_SP16,H1,o,o,523.2595263211604,1156.2561986847702,459.4427500000001
375a28cd-Audio_SP16,H1,o,o,399.2394066706315,1113.528065514308,464.15375
375a28cd-Audio_SP16,H1,o,o,465.2145005647546,800.8377665944273,465.49875
375a28cd-Audio_SP16,H1,o,o,404.0787767748903,747.6976239226958,468.46375
375a28cd-Audio_SP16,H1,o,o,437.0218525178807,1001.078155832066,469.41775
375a28cd-Audio_SP16,H1,o,o,436.7833551716236,905.8229194337548,469.57375
375a28cd-Audio_SP16,H1,o,o,431.733596308338,761.7432171293508,469.96275
375a28cd-Audio_SP16,H1,o,o,488.62632247334767,985.6891766863496,473.16575
375a28cd-Audio_SP16,H1,o,o,532.7761502971362,1602.3075893126622,473.41375
375a28cd-Audio_SP16,H1,o,o,453.4444047658528,1056.780607004561,473.61775000000006
375a28cd-Audio_SP16,H1,o,o,520.0751331735696,1299.335963005866,492.14875
375a28cd-Audio_SP16,H1,o,o,425.2451640813958,1214.8963761179634,498.25075
375a28cd-Audio_SP16,H1,o,o,443.48049180764735,983.357643221225,499.11375
375a28cd-Audio_SP16,H1,o,o,506.91851022322106,874.0084230470299,499.94775
375a28cd-Audio_SP16,H1,o,o,458.2691495957738,1122.6781004510467,501.53275
375a28cd-Audio_SP16,H1,o,o,477.7781823469171,1112.727686299603,502.36375
375a28cd-Audio_SP16,H1,o,o,443.1071222616997,976.0205634441796,502.75875
375a28cd-Audio_SP16,H1,o,o,392.6729960028306,1193.9513769471644,504.38875
375a28cd-Audio_SP16,H1,o,o,462.4308236722688,915.1047417510468,505.61375
375a28cd-Audio_SP16,H1,o,o,463.2139347567857,857.2679391722762,505.95575
375a28cd-Audio_SP16,H1,o,o,442.2884219138826,875.0843098522136,506.41375
375a28cd-Audio_SP16,H1,o,o,526.5215198989102,923.852144621427,512.3387500000001
375a28cd-Audio_SP16,H1,o,o,401.6888292181694,685.5956539709564,517.9737500000001
375a28cd-Audio_SP16,H1,o,o,441.65952245343374,1516.8915597770265,521.7187500000001
375a28cd-Audio_SP16,H1,o,o,497.3832606335488,920.3707972829732,528.08375
375a28cd-Audio_SP16,H1,o,o,421.2279722070198,800.3772860157852,529.90075
375a28cd-Audio_SP16,H1,o,o,555.2978010014324,901.516527058458,532.32075
375a28cd-Audio_SP16,H1,o,o,456.1649711898504,882.973898948465,537.2927500000001
375a28cd-Audio_SP16,H1,o,o,516.3601460345449,912.0750060043538,539.4907499999999
375a28cd-Audio_SP16,H1,o,o,446.4707945504189,1357.999078370589,539.9607500000001
375a28cd-Audio_SP16,H1,o,o,508.4606044158032,1131.9216587591163,540.6437500000001
375a28cd-Audio_SP16,H1,o,o,431.8095527618108,938.2811763599404,544.5137500000001
375a28cd-Audio_SP16,H1,o,o,495.1739923286518,877.9542388719854,545.16875
375a28cd-Audio_SP16,H1,o,o,554.9834674302023,1115.2123679204226,546.13575
375a28cd-Audio_SP16,H1,o,o,390.3097734598296,715.9956273316982,548.6037500000001
375a28cd-Audio_SP16,H1,o,o,453.4627230060551,1131.2586184605814,550.3327499999999
375a28cd-Audio_SP16,H1,o,o,501.8125666460903,1357.925409934455,555.16375
375a28cd-Audio_SP16,H1,o,o,439.4218511156161,725.2850799113296,561.07775
375a28cd-Audio_SP16,H1,o,o,395.01165795790905,1100.5516897687382,568.0037500000001
375a28cd-Audio_SP16,H1,o,o,526.0678869589711,1320.392515750879,568.30575
375a28cd-Audio_SP16,H1,o,o,406.18814328616656,957.7871751559504,575.2177500000001
375a28cd-Audio_SP16,H1,o,o,449.02731749184136,954.5735579791163,575.8677500000001
375a28cd-Audio_SP16,H1,o,o,404.73382162613694,794.4552251674577,576.00075
375a28cd-Audio_SP16,H1,o,o,489.021027068158,924.7759138573082,579.55375
375a28cd-Audio_SP16,H1,o,o,390.77346194510807,1269.2321176974958,587.37575
375a28cd-Audio_SP16,H1,o,o,488.5575271145778,1279.3897794617365,589.43575
375a28cd-Audio_SP16,H1,o,o,384.2327736797603,1104.5218662705236,592.16375
375a28cd-Audio_SP16,H1,o,o,452.400802295579,1080.7968607480952,592.41275
375a28cd-Audio_SP16,H1,o,o,389.5862483315071,805.286996004736,592.66375
375a28cd-Audio_SP16,H1,o,o,472.1131140325635,728.9536124627342,592.81875
375a28cd-Audio_SP16,H1,o,o,346.5485813050614,929.4911634131394,598.07075
375a28cd-Audio_SP16,H1,o,o,498.7866193892022,1154.1057587514197,610.26075
375a28cd-Audio_SP16,H1,o,o,482.14249472270006,882.5185743439724,611.1977499999999
375a28cd-Audio_SP16,H1,o,o,493.04419367737705,1372.6594941104229,621.79275
375a28cd-Audio_SP16,H1,o,o,447.68703703741664,1414.9944945792554,627.8437500000001
375a28cd-Audio_SP16,H1,o,o,414.3224341559864,904.2698105880772,630.8937500000001
