audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
375a28cd-Audio_SP16,H1,i,e,118680.79584660864,143088.2412307684,64528.202069042956,197240.8350083341,54.371224601867105,45.09678888635846,32.71543748347872
375a28cd-Audio_SP16,H1,i,a,118680.79584660864,175088.38991867882,0.0,293769.1857652875,0.0,0.0,0.0
375a28cd-Audio_SP16,H1,i,o,118680.79584660864,80254.54805354963,0.0,198935.34390015827,0.0,0.0,0.0
375a28cd-Audio_SP16,H1,i,u,118680.79584660864,77680.19800635522,0.0,196360.99385296387,0.0,0.0,0.0
375a28cd-Audio_SP16,H1,e,a,143088.2412307684,175088.38991867882,0.0,318176.63114944723,0.0,0.0,0.0
375a28cd-Audio_SP16,H1,e,o,143088.2412307684,80254.54805354963,0.0,223342.78928431805,0.0,0.0,0.0
375a28cd-Audio_SP16,H1,e,u,143088.2412307684,77680.19800635522,0.0,220768.43923712365,0.0,0.0,0.0
375a28cd-Audio_SP16,H1,a,o,175088.38991867882,80254.54805354963,38810.770964665266,216532.1670075632,22.166387493020657,48.35959070976125,17.923790031302673
375a28cd-Audio_SP16,H1,a,u,175088.38991867882,77680.19800635522,8035.882552381574,244732.70537265248,4.589614740368509,10.344827586206897,3.2835343932252132
375a28cd-Audio_SP16,H1,o,u,80254.54805354963,77680.19800635522,38341.5223484678,119593.22371143705,47.774890368686044,49.35816763151271,32.05994550408719
375a28cd-Audio_SP16,H2,i,e,116501.83669464939,100497.36334979734,46225.21072228222,170773.9893221645,39.67766692248657,45.996441281138786,27.06806282722513
375a28cd-Audio_SP16,H2,i,a,116501.83669464939,89872.41968603614,0.0,206374.25638068555,0.0,0.0,0.0
375a28cd-Audio_SP16,H2,i,o,116501.83669464939,67095.10357094639,0.0,183596.9402655958,0.0,0.0,0.0
375a28cd-Audio_SP16,H2,i,u,116501.83669464939,86020.31879251261,0.0,202522.155487162,0.0,0.0,0.0
375a28cd-Audio_SP16,H2,e,a,100497.36334979734,89872.41968603614,0.0,190369.78303583348,0.0,0.0,0.0
375a28cd-Audio_SP16,H2,e,o,100497.36334979734,67095.10357094639,0.0,167592.46692074373,0.0,0.0,0.0
375a28cd-Audio_SP16,H2,e,u,100497.36334979734,86020.31879251261,0.0,186517.68214230996,0.0,0.0,0.0
375a28cd-Audio_SP16,H2,a,o,89872.41968603614,67095.10357094639,29892.899003513263,127074.62425346927,33.26148234123694,44.553026096612996,23.52389328642627
375a28cd-Audio_SP16,H2,a,u,89872.41968603614,86020.31879251261,13374.31548138243,162518.42299716632,14.881445863040954,15.54785621481161,8.229415000916926
375a28cd-Audio_SP16,H2,o,u,67095.10357094639,86020.31879251261,45591.88659085186,107523.53577260715,67.95113825652416,53.001299263750546,42.40177395883861
