audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
375a28cd-Audio_SP16,H1,i,118680.79584660864,64528.202069042956,54.371224601867105,54152.593777565686,45.628775398132895
375a28cd-Audio_SP16,H1,e,143088.2412307684,64528.202069042956,45.09678888635846,78560.03916172546,54.90321111364155
375a28cd-Audio_SP16,H1,a,175088.38991867882,38810.770964665266,22.166387493020657,136277.61895401357,77.83361250697935
375a28cd-Audio_SP16,H1,o,80254.54805354963,69116.41076075149,86.12148773753451,11138.137292798143,13.878512262465486
375a28cd-Audio_SP16,H1,u,77680.19800635522,38341.5223484678,49.35816763151271,39338.67565788742,50.64183236848729
375a28cd-Audio_SP16,H2,i,116501.83669464939,46225.21072228222,39.67766692248657,70276.62597236717,60.322333077513434
375a28cd-Audio_SP16,H2,e,100497.36334979734,46225.21072228222,45.996441281138786,54272.15262751511,54.003558718861214
375a28cd-Audio_SP16,H2,a,89872.41968603614,30675.240577633125,34.131984745481674,59197.17910840301,65.86801525451833
375a28cd-Audio_SP16,H2,o,67095.10357094639,62892.811687102556,93.73681288173238,4202.2918838438345,6.263187118267624
375a28cd-Audio_SP16,H2,u,86020.31879251261,46374.228164971726,53.9107838891295,39646.090627540885,46.089216110870495
