half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,1060,298.24222807359706,2195.0927173456157,304.3464955533029,2151.8324902510662,60.17927418319084,253.81028871895015,55.46463300606615,226.93933494639532,177.34036379908272,120.4945515598789
H1,e,1376,388.6431386449349,1971.9312223859063,391.28251936670165,1965.6119979929117,57.040620423666695,217.0211340205268,65.37701722554937,283.4559801122077,182.3565168835289,150.360407478901
H1,a,1260,568.5656379849188,1451.105351174862,553.3107236899458,1444.7857872181387,113.14064621062468,257.7364882188342,129.1657061271838,243.1110099213529,216.82166895467634,166.36289788825553
H1,o,1224,395.25245512667425,964.3649235939338,395.8873427497452,988.8366269102044,61.43820922908497,240.35398594845043,66.88494915694002,335.73835214183055,207.17125838442453,180.74388456871077
H1,u,373,335.9417990450178,798.8600674799558,340.55770152693606,947.9451526065442,50.961939367526114,437.1810260115062,61.86519575397216,418.01664773536424,292.3450031665788,173.7386935580195
H2,i,975,302.1980715509413,2184.546585667513,312.1196111031083,2137.0029653521565,70.1694826279453,238.9886432460136,59.00808315287401,241.76189733222964,175.5058911233112,123.36327889142787
H2,e,1330,394.69887261059887,1971.6852186280285,398.25128925343085,1957.3582885439234,60.21122147144762,225.48202902918683,68.84384641061433,287.94483350126757,188.35565420904334,154.46545750721094
H2,a,1096,584.5235222424794,1432.1418259120146,573.7083631085884,1441.9653809437564,109.6319374066506,254.17358861316725,132.62741522341798,225.68662570942502,209.60738152398918,153.15418832563904
H2,o,1218,399.5499041123999,963.2544792348964,402.3182343813812,992.3850980667349,64.28198074902076,255.80522109663391,74.84691640808734,336.53315906306364,213.99691159895252,180.66557753784974
H2,u,327,341.0253450201737,789.9889811450306,342.3914243432522,934.9146034364245,57.734854014977444,382.27626921023693,68.81247475721057,407.73012581512273,273.89794561507654,160.67955006245595
