half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,240.776613201489,179.86592768265447,1.3386449357229124,True
H1,i,u,i-u,1396.7415187508072,241.78007104480093,5.776909208087694,True
H1,e,a,e-a,551.0278521921462,200.33164425295374,2.750578193709513,True
H1,a,o,a-o,516.6756266693062,212.05136928215913,2.436558784875418,True
H1,o,u,o-u,175.8112946375889,253.3629128118922,0.6939109307135215,True
H2,i,e,i-e,232.09127466278565,182.04418459745463,1.2749172689915786,True
H2,i,u,i-u,1395.0980142973967,230.0243491797629,6.065001462984836,True
H2,e,a,e-a,571.9619482372694,199.2650331365991,2.870357830644482,True
H2,a,o,a-o,504.0541471687745,211.81351770275788,2.3797071718346308,True
H2,o,u,o-u,182.8826313384318,245.7791313212427,0.7440934075863309,True
