audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
42d56bbf-Audio_SP23,H1,i,75048.29002354581,25178.69723788553,33.549994583468745,49869.59278566028,66.45000541653127
42d56bbf-Audio_SP23,H1,e,108665.95650034808,27682.745913787614,25.475086039203955,80983.21058656047,74.52491396079604
42d56bbf-Audio_SP23,H1,a,190819.89114317446,11642.200337310973,6.101146095181288,179177.6908058635,93.89885390481871
42d56bbf-Audio_SP23,H1,o,133088.5611185619,84568.55300887482,63.543066585216856,48520.00810968707,36.45693341478314
42d56bbf-Audio_SP23,H1,u,133909.69396358173,75430.40134746593,56.329306053062965,58479.292616115796,43.67069394693704
42d56bbf-Audio_SP23,H2,i,77434.7558108821,29878.48382751597,38.58536585365854,47556.271983366125,61.41463414634146
42d56bbf-Audio_SP23,H2,e,115934.93866953652,31361.07610340725,27.05058238983465,84573.86256612928,72.94941761016534
42d56bbf-Audio_SP23,H2,a,170507.55499040088,5939.812366468883,3.483606557377049,164567.742623932,96.51639344262296
42d56bbf-Audio_SP23,H2,o,140308.00022415686,84158.35899836358,59.98115493336923,56149.64122579328,40.01884506663077
42d56bbf-Audio_SP23,H2,u,135718.57445292652,79701.13890778596,58.725299192875035,56017.43554514056,41.274700807124965
