half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,417.0952739656491,211.66404779590144,198.01901675656265,2.1063394859616476,0.47475727757315944,0.30482065950085835,0.4560003331843304,294
H1,e,i,417.0952739656491,183.36137233650393,198.01901675656265,2.1063394859616476,0.47475727757315944,0.19750710602061658,0.32544925060286045,363
H1,a,o,380.5002142901877,177.7712052552609,186.20723735239721,2.043423336817414,0.48937485541174136,0.2301251282496705,0.40631463295186515,357
H1,o,u,237.61100705766162,194.27729941224703,194.43472612265145,1.2220605433814025,0.8182900637909738,0.0223254795613205,0.0607860481478751,327
H1,u,o,237.61100705766162,194.59202547346354,194.43472612265145,1.2220605433814025,0.8182900637909738,0.0041900632148108964,0.11274444597524223,54
H2,i,e,402.5721371302569,216.7371422522772,201.89984746834594,1.9939199666476846,0.5015246432790724,0.26748798487727976,0.4384051847727073,247
H2,e,i,402.5721371302569,185.8819732620645,201.89984746834594,1.9939199666476846,0.5015246432790724,0.1932440964665919,0.338995408876202,289
H2,a,e,417.89847361948944,174.79255983397806,180.4224860668892,2.316221679068091,0.43173760484028456,0.21093755583382923,0.3557356935952034,269
H2,o,u,162.18995902108063,174.3583311322021,211.93372946485914,0.7652862025814227,1.3067006782911454,0.062113434494847755,0.11537671232203166,238
H2,u,o,162.18995902108063,243.78470775370954,211.93372946485914,0.7652862025814227,1.3067006782911454,-0.011967564982948022,0.13579461402770884,33
