half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,235.2195414562718,161.55680088519654,1.4559556773064635,True
H1,i,u,i-u,848.4544180763228,229.3394882249133,3.6995566033715193,True
H1,e,a,e-a,300.29650207957627,147.95686627308257,2.029621940798083,True
H1,a,o,a-o,304.7373689418671,161.2143852803007,1.890261643909912,True
H1,o,u,o-u,104.87843846541494,222.99268617051357,0.47032232431703436,True
H2,i,e,i-e,214.38050366918216,158.15916580473544,1.355473156287749,True
H2,i,u,i-u,948.2689025362085,224.36207546793375,4.226511546385374,True
H2,e,a,e-a,322.6624037545828,146.4104194893949,2.203821318727623,True
H2,a,o,a-o,333.13686509859184,162.06794424078768,2.055538290802551,True
H2,o,u,o-u,167.09705706366915,214.15959710141362,0.7802454773228847,True
