half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,235.2195414562718,161.55680088519654,1.4559556773064635,True
H1,i,a,i-a,535.4661159138425,169.88508114319293,3.15193136625404,False
H1,i,o,i-o,771.2847502699383,173.77987126308224,4.438285888141234,False
H1,i,u,i-u,848.4544180763228,229.3394882249133,3.6995566033715193,True
H1,e,a,e-a,300.29650207957627,147.95686627308257,2.029621940798083,True
H1,e,o,e-o,549.6453246383551,152.41304779622718,3.606287864364595,False
H1,e,u,e-u,635.3194963859702,213.6045279051611,2.974279162602993,False
H1,a,o,a-o,304.7373689418671,161.2143852803007,1.890261643909912,True
H1,a,u,a-u,407.37336514237114,219.9709872332189,1.851941341293629,False
H1,o,u,o-u,104.87843846541494,222.99268617051357,0.47032232431703436,True
H2,i,e,i-e,214.38050366918216,158.15916580473544,1.355473156287749,True
H2,i,a,i-a,536.781539412993,175.3283389189382,3.061578879505441,False
H2,i,o,i-o,797.920665677911,172.7551137981862,4.618796214681366,False
H2,i,u,i-u,948.2689025362085,224.36207546793375,4.226511546385374,True
H2,e,a,e-a,322.6624037545828,146.4104194893949,2.203821318727623,True
H2,e,o,e-o,594.7766060049713,143.3189235600477,4.150021443300696,False
H2,e,u,e-u,751.7192468695451,202.56931015152648,3.7109236651259856,False
H2,a,o,a-o,333.13686509859184,162.06794424078768,2.055538290802551,True
H2,a,u,a-u,500.1782890639217,216.24067636614905,2.3130629142918324,False
H2,o,u,o-u,167.09705706366915,214.15959710141362,0.7802454773228847,True
