audio,half,vowel_raw,vowel,f1,f2,token_time
501e6487-Audio_SP19,H1,i,i,346.28030866600324,1585.076562020083,13.26375
501e6487-Audio_SP19,H1,i,i,369.6949446603928,1983.18025979054,70.58375
501e6487-Audio_SP19,H1,i,i,348.6896562640531,1935.5833227779003,72.57775
501e6487-Audio_SP19,H1,i,i,266.2132359907314,1874.2660898758188,72.86274999999999
501e6487-Audio_SP19,H1,i,i,303.59387349671925,1750.925661961645,73.90074999999999
501e6487-Audio_SP19,H1,i,i,309.9449244834932,2012.1750347187444,74.59875
501e6487-Audio_SP19,H1,i,i,298.0386582630001,1842.654131001811,84.85374999999999
501e6487-Audio_SP19,H1,i,i,332.9872784181284,1856.784367092515,85.04375
501e6487-Audio_SP19,H1,i,i,340.8868126700713,2017.645613646173,85.79775
501e6487-Audio_SP19,H1,i,i,352.5320229847748,1364.077388541062,88.34575000000001
501e6487-Audio_SP19,H1,i,i,332.84418811494504,2007.839201852976,90.49575
501e6487-Audio_SP19,H1,i,i,319.4833192094191,1861.0125494276367,93.88375
501e6487-Audio_SP19,H1,i,i,250.23510096293828,2297.024722294155,97.00275
501e6487-Audio_SP19,H1,i,i,260.60086187466817,2165.113546729934,98.67575
501e6487-Audio_SP19,H1,i,i,335.05790693835,1934.083308595236,99.54375
501e6487-Audio_SP19,H1,i,i,291.279265064265,1996.81845206282,100.26575
501e6487-Audio_SP19,H1,i,i,339.9483531599461,1725.2876293954798,102.43775
501e6487-Audio_SP19,H1,i,i,279.31581934092486,1886.9217180294693,105.17375
501e6487-Audio_SP19,H1,i,i,336.17486327616047,1839.48642085598,106.53575
501e6487-Audio_SP19,H1,i,i,349.34203802421774,1868.2038817621903,107.74775
501e6487-Audio_SP19,H1,i,i,316.9323745789439,1990.1308828355973,111.40775
501e6487-Audio_SP19,H1,i,i,290.3411885424664,1975.9041949416928,117.96375
501e6487-Audio_SP19,H1,i,i,259.39158512016894,2242.596025145712,119.89075
501e6487-Audio_SP19,H1,i,i,363.1137705014066,1975.318590691557,129.35375
501e6487-Audio_SP19,H1,i,i,376.3052207741116,2042.373372403124,135.60775
501e6487-Audio_SP19,H1,i,i,313.5323305710497,2201.215484283181,137.49875
501e6487-Audio_SP19,H1,i,i,313.82523135440573,1662.5090735830272,137.97375000000002
501e6487-Audio_SP19,H1,i,i,296.7162844815409,1970.1181781698392,139.79274999999998
501e6487-Audio_SP19,H1,i,i,313.3070218778959,1823.3152783522853,146.26775
501e6487-Audio_SP19,H1,i,i,327.0959871145102,1974.3065447111887,147.12575
501e6487-Audio_SP19,H1,i,i,321.38499925817985,1852.234874133581,160.40775
501e6487-Audio_SP19,H1,i,i,327.0119540387027,1973.7436896011104,162.05375
501e6487-Audio_SP19,H1,i,i,299.0092800252777,2016.6821465387743,164.75275
501e6487-Audio_SP19,H1,i,i,318.66435387580725,2278.866602550088,165.45774999999998
501e6487-Audio_SP19,H1,i,i,241.6853675267172,2028.3583948957933,174.46274999999997
501e6487-Audio_SP19,H1,i,i,302.9232133369179,1529.9340253344471,175.80375
501e6487-Audio_SP19,H1,i,i,259.10970075786184,1690.3294875631768,176.71775
501e6487-Audio_SP19,H1,i,i,317.47033280668376,1875.893148372577,178.00575
501e6487-Audio_SP19,H1,i,i,324.6147740687191,1647.9377543909,179.90574999999998
501e6487-Audio_SP19,H1,i,i,252.8454644690277,2185.3904006169064,181.70775
501e6487-Audio_SP19,H1,i,i,310.7322488837029,1988.2053939287064,183.43775
501e6487-Audio_SP19,H1,i,i,299.5959906032905,1920.9870028398584,185.23375
501e6487-Audio_SP19,H1,i,i,263.9659154013361,1837.151190531804,187.49575
501e6487-Audio_SP19,H1,i,i,282.0851714099946,2002.140828692948,190.26075000000003
501e6487-Audio_SP19,H1,i,i,387.57915662855913,1876.683425070424,190.38775
501e6487-Audio_SP19,H1,i,i,292.2433257379108,1788.7485224294476,198.98275
501e6487-Audio_SP19,H1,i,i,364.9064153653985,2225.574919636579,199.79575000000003
501e6487-Audio_SP19,H1,i,i,304.4001885864888,2303.466282260579,202.08275
501e6487-Audio_SP19,H1,i,i,325.4776420922352,1965.5425822372904,202.54575
501e6487-Audio_SP19,H1,i,i,337.40175099497,1903.3234167754167,203.93575
501e6487-Audio_SP19,H1,i,i,308.40776520505784,1595.8431400379634,208.83375
501e6487-Audio_SP19,H1,i,i,333.39072540727034,2082.296392215882,209.98275
501e6487-Audio_SP19,H1,i,i,370.6652316359521,2012.4285783660137,211.37875
501e6487-Audio_SP19,H1,i,i,359.49650822099454,1880.2720980013328,211.69775
501e6487-Audio_SP19,H1,i,i,257.6485150202712,1853.831180336744,212.28075
