half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,365.60132103327857,298.14183876767356,279.61447179431195,1.3075193093089246,0.7648070608827485,0.12615227963648726,0.30590556602889596,412
H1,e,i,365.60132103327857,259.76903135257425,279.61447179431195,1.3075193093089246,0.7648070608827485,0.10884415342395035,0.16807728010999667,622
H1,a,o,472.76173038288346,308.1661438779657,267.2211816939501,1.7691776055550121,0.5652343760514016,0.07726783176645603,0.23868094904590625,653
H1,o,u,338.0019929125027,218.7417373507103,204.41466410056094,1.6535114758020688,0.604773546863308,0.04550522305556575,0.14834513602164978,418
H1,u,o,338.0019929125027,189.00466168717418,204.41466410056094,1.6535114758020688,0.604773546863308,0.29325146010009207,0.4262115224720764,106
H2,i,e,542.465314164749,292.60067042000594,283.04705756118017,1.9165198848516416,0.5217790892252654,0.17832684097805954,0.37990655624556224,412
H2,e,a,468.908570154382,273.15951614001506,260.5239269914669,1.7998675805686764,0.5555964287573009,0.11686193222594125,0.2298762279930963,647
H2,a,e,468.908570154382,247.24342622658992,260.5239269914669,1.7998675805686764,0.5555964287573009,0.15548692885588364,0.2734540132366564,575
H2,o,u,302.4939136254457,273.5047052994075,240.04903804161702,1.2601338297094224,0.7935665057342303,-0.07822676938539493,-0.10178168427165175,413
H2,u,o,302.4939136254457,201.102604429917,240.04903804161702,1.2601338297094224,0.7935665057342303,0.288696917258695,0.45057371271858015,95
