audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
514fc6b6-Audio_SP19,H1,i,223582.20409514528,88361.76591022822,39.520929793064354,135220.43818491706,60.479070206935646
514fc6b6-Audio_SP19,H1,e,219451.9649473988,109889.7131816024,50.07460890493382,109562.2517657964,49.92539109506618
514fc6b6-Audio_SP19,H1,a,471026.83845821716,120231.155958185,25.525330223587716,350795.6825000321,74.47466977641227
514fc6b6-Audio_SP19,H1,o,198061.3402052336,163392.68321570952,82.49600000000001,34668.65698952408,17.503999999999998
514fc6b6-Audio_SP19,H1,u,132410.60797187217,64773.98070071959,48.919026725169516,67636.62727115258,51.08097327483048
514fc6b6-Audio_SP19,H2,i,190785.947290723,67049.01320927677,35.14358062604386,123736.93408144623,64.85641937395614
514fc6b6-Audio_SP19,H2,e,267425.13822869136,114054.24659974476,42.649037168005535,153370.89162894659,57.35096283199446
514fc6b6-Audio_SP19,H2,a,265009.60578898876,74953.45766089931,28.28329842525793,190056.14812808944,71.71670157474206
514fc6b6-Audio_SP19,H2,o,253240.30943384208,126707.52503920815,50.0345009538499,126532.78439463393,49.9654990461501
514fc6b6-Audio_SP19,H2,u,126152.46652114883,92890.0708833718,73.63317852195877,33262.39563777704,26.366821478041224
