half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,631.6100198162014,306.2416420098886,2.0624563520195816,True
H1,i,u,i-u,1773.4415780946988,293.04488063115514,6.0517746437852455,True
H1,e,a,e-a,444.95710254956305,329.41089981834267,1.3507661792458587,True
H1,a,o,a-o,797.8721728839153,303.0581043522255,2.6327366317734184,True
H1,o,u,o-u,72.19262314018975,272.9374733706419,0.26450242338894253,True
H2,i,e,i-e,841.6918245116698,288.13118141854653,2.921210472146044,True
H2,i,u,i-u,2023.4994804659398,289.4990911254034,6.989657454880964,True
H2,e,a,e-a,308.91392900548135,234.19141660101172,1.3190659738472534,True
H2,a,o,a-o,768.2565733075654,270.65408888526895,2.8385182594940646,True
H2,o,u,o-u,235.91048338499834,273.484334789231,0.8626105899879417,True
