audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
51a17262-Audio_SP18,H1,i,e,210436.2132083096,322522.90286291926,54658.89605619751,478300.22001503134,25.974092207262338,16.94729136163982,11.427738012430721
51a17262-Audio_SP18,H1,i,a,210436.2132083096,247483.6330367003,0.0,457919.8462450099,0.0,0.0,0.0
51a17262-Audio_SP18,H1,i,o,210436.2132083096,236772.93634239733,0.0,447209.1495507069,0.0,0.0,0.0
51a17262-Audio_SP18,H1,i,u,210436.2132083096,121756.36673032805,0.0,332192.5799386377,0.0,0.0,0.0
51a17262-Audio_SP18,H1,e,a,322522.90286291926,247483.6330367003,49453.797963274716,520552.7379363448,15.333422068414745,19.982653946227234,9.5002474022761
51a17262-Audio_SP18,H1,e,o,322522.90286291926,236772.93634239733,0.0,559295.8392053166,0.0,0.0,0.0
51a17262-Audio_SP18,H1,e,u,322522.90286291926,121756.36673032805,0.0,444279.26959324727,0.0,0.0,0.0
51a17262-Audio_SP18,H1,a,o,247483.6330367003,236772.93634239733,107.3216101633566,484149.2477689343,0.04336513443191674,0.045326806273229985,0.022167050895548854
51a17262-Audio_SP18,H1,a,u,247483.6330367003,121756.36673032805,0.0,369239.9997670284,0.0,0.0,0.0
51a17262-Audio_SP18,H1,o,u,236772.93634239733,121756.36673032805,102331.15529076051,256198.14778196486,43.21910978152479,84.04583516967827,39.94219168900804
51a17262-Audio_SP18,H2,i,e,202388.65770659698,133366.06952797336,2466.327244986718,333288.39998958365,1.2186094185980298,1.849291393017629,0.739997925239462
51a17262-Audio_SP18,H2,i,a,202388.65770659698,164875.12881672892,0.0,367263.7865233259,0.0,0.0,0.0
51a17262-Audio_SP18,H2,i,o,202388.65770659698,237931.4297792093,0.0,440320.0874858063,0.0,0.0,0.0
51a17262-Audio_SP18,H2,i,u,202388.65770659698,100658.42129772894,0.0,303047.0790043259,0.0,0.0,0.0
51a17262-Audio_SP18,H2,e,a,133366.06952797336,164875.12881672892,24962.919685239398,273278.27865946287,18.717594192879364,15.140500489305186,9.134615384615385
51a17262-Audio_SP18,H2,e,o,133366.06952797336,237931.4297792093,0.0,371297.4993071827,0.0,0.0,0.0
51a17262-Audio_SP18,H2,e,u,133366.06952797336,100658.42129772894,0.0,234024.49082570232,0.0,0.0,0.0
51a17262-Audio_SP18,H2,a,o,164875.12881672892,237931.4297792093,968.0910681256277,401838.4675278126,0.587166223961974,0.4068781787357714,0.24091547881951417
51a17262-Audio_SP18,H2,a,u,164875.12881672892,100658.42129772894,0.0,265533.55011445784,0.0,0.0,0.0
51a17262-Audio_SP18,H2,o,u,237931.4297792093,100658.42129772894,97074.17936693049,241515.67171000777,40.799224993945266,96.43920311426609,40.19373926321817
