half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,340,331.6504925823183,2232.7202081506075,332.8658853921473,2193.2344584157504,53.95250092968988,185.5206808639406,54.516511054738885,181.66987280399826,140.55521479338358,99.02891473224992
H1,e,247,387.8139001765837,1955.093147133589,389.2866550560306,1951.0809888601113,32.11502476616,196.49526638683312,43.66421180548741,235.2391955458968,153.63626421563342,124.28654758281378
H1,a,279,496.19703602198575,1512.8954699380915,500.83921096634975,1548.0145288724552,85.663464047267,177.52958098687347,78.56702622014035,241.8418939528765,162.60233555190504,133.18780937086132
H1,o,285,416.1544709630524,1191.8055721314076,416.76374620531965,1214.0131840365386,40.12406119772188,256.6406029260918,52.21087951328076,224.65477887749284,180.77508696435092,123.71342876057174
H1,u,63,362.4048721285161,1116.2275009729178,360.44942777982465,1115.6561992519698,39.54427950105954,325.28149966685567,41.67339984153989,329.5790040654383,244.62400690412616,164.3292699590766
H2,i,184,334.50737761190067,2210.49666652066,339.532010581196,2179.689154293799,54.50112891054443,163.24663014477477,50.57964336189542,168.37837333295238,125.87799678327283,92.41163493082547
H2,e,164,387.5374837882037,1935.474986872244,388.91501582871683,1923.3265806888421,36.84347417871977,220.02182476792385,39.03932494960276,201.74782492315262,162.23280138335556,106.14837040209235
H2,a,235,496.3971957659693,1492.0777893329118,497.2387028952438,1514.5892021235713,65.23532472077768,228.99924381750654,73.1408859950609,299.1313927870208,195.27626440640762,169.99129855905647
H2,o,205,417.6108867931051,1183.398355129603,416.1939562159941,1162.9870501420048,40.13153664412774,222.0012596265134,50.10364410336473,203.82768036710718,159.3029785856713,107.43883499473363
H2,u,35,347.1364672162732,1162.833743431008,353.3855649284868,1174.2745758508788,47.27945116307048,392.7773272378011,51.22067718303049,445.56557541202005,314.3489297162599,244.04380436199736
