half,vowel,nearest_vowel,nearest_centroid_distance,within_dispersion_mean,pooled_dispersion_with_nearest,differentiation_score,overlap_risk,silhouette_mean,silhouette_median,n_silhouette_tokens
H1,i,e,283.25097239294155,140.55521479338358,147.24107797715644,1.9237224848142325,0.519825498684945,0.33257646788578765,0.5084536610999865,340
H1,e,i,283.25097239294155,153.63626421563342,147.24107797715644,1.9237224848142325,0.519825498684945,0.10385006898181999,0.24669434538640456,247
H1,a,o,330.91620494427326,162.60233555190504,171.92898474937692,1.9247261037843855,0.5195544436342426,0.20347952505463007,0.3280774924080736,279
H1,o,u,92.74192263971746,180.77508696435092,215.0820039203636,0.4311933167316785,2.3191454069365287,0.13241088952802313,0.26120628616907793,285
H1,u,o,92.74192263971746,244.62400690412616,215.0820039203636,0.4311933167316785,2.3191454069365287,-0.2233289979365832,-0.2633341656004417,63
H2,i,e,280.0876941918474,125.87799678327283,145.19771334091482,1.929008988827666,0.5184009021169669,0.32407144380721686,0.5139268372253054,184
H2,e,i,280.0876941918474,162.23280138335556,145.19771334091482,1.929008988827666,0.5184009021169669,0.12767445627344487,0.27278987000677823,164
H2,a,o,318.575384456556,195.27626440640762,178.19968915066613,1.7877437720287128,0.5593642756004181,0.08744348183556304,0.16378751502363734,235
H2,o,u,73.41353464454178,159.3029785856713,249.1913808702309,0.2946070381253382,3.3943520370839138,0.20309030313969698,0.30096000226388314,205
H2,u,o,73.41353464454178,314.3489297162599,249.1913808702309,0.2946070381253382,3.3943520370839138,-0.25001151403613847,-0.3048442759166717,35
