audio,half,vowel_1,vowel_2,area_vowel_1,area_vowel_2,intersection_area,union_area,overlap_percent_of_vowel_1,overlap_percent_of_vowel_2,jaccard_overlap_percent
5278b5b9-Audio_SP15,H1,i,e,60961.655819113774,56480.01088516862,19482.258642707657,97959.40806157474,31.958217638503246,34.49407735122021,19.888093474862174
5278b5b9-Audio_SP15,H1,i,a,60961.655819113774,115982.71394700887,0.0,176944.36976612266,0.0,0.0,0.0
5278b5b9-Audio_SP15,H1,i,o,60961.655819113774,78307.87865697347,0.0,139269.53447608725,0.0,0.0,0.0
5278b5b9-Audio_SP15,H1,i,u,60961.655819113774,92599.16726827701,0.0,153560.8230873908,0.0,0.0,0.0
5278b5b9-Audio_SP15,H1,e,a,56480.01088516862,115982.71394700887,5618.1771923737015,166844.5476398038,9.947195661481375,4.843978038779624,3.367312430552201
5278b5b9-Audio_SP15,H1,e,o,56480.01088516862,78307.87865697347,0.0,134787.88954214207,0.0,0.0,0.0
5278b5b9-Audio_SP15,H1,e,u,56480.01088516862,92599.16726827701,0.0,149079.17815344562,0.0,0.0,0.0
5278b5b9-Audio_SP15,H1,a,o,115982.71394700887,78307.87865697347,23270.69950413612,171019.89309984623,20.063937730210576,29.716932578486876,13.607013244096713
5278b5b9-Audio_SP15,H1,a,u,115982.71394700887,92599.16726827701,2514.8798909908105,206067.0013242951,2.1683230245326293,2.7158774373259056,1.2204185409739878
5278b5b9-Audio_SP15,H1,o,u,78307.87865697347,92599.16726827701,35506.557435302944,135400.48848994754,45.34225424601132,38.34435933147632,26.223359923800448
5278b5b9-Audio_SP15,H2,i,e,48293.344208027505,56006.40772521897,16687.72114455921,87612.03078868726,34.55490900086665,29.79609266574143,19.047294069473825
5278b5b9-Audio_SP15,H2,i,a,48293.344208027505,123528.59865517497,0.0,171821.94286320248,0.0,0.0,0.0
5278b5b9-Audio_SP15,H2,i,o,48293.344208027505,56640.194339809896,0.0,104933.5385478374,0.0,0.0,0.0
5278b5b9-Audio_SP15,H2,i,u,48293.344208027505,159343.5214985679,0.0,207636.8657065954,0.0,0.0,0.0
5278b5b9-Audio_SP15,H2,e,a,56006.40772521897,123528.59865517497,2636.7914814584783,176898.21489893546,4.708017508273727,2.134559535333979,1.4905698641249239
5278b5b9-Audio_SP15,H2,e,o,56006.40772521897,56640.194339809896,0.0,112646.60206502887,0.0,0.0,0.0
5278b5b9-Audio_SP15,H2,e,u,56006.40772521897,159343.5214985679,5871.494863474434,209478.43436031244,10.483612682822676,3.6848030018761726,2.8029113743399456
5278b5b9-Audio_SP15,H2,a,o,123528.59865517497,56640.194339809896,20574.148498182818,159594.64449680204,16.655372700871247,36.324290087617435,12.891503072081523
5278b5b9-Audio_SP15,H2,a,u,123528.59865517497,159343.5214985679,1925.2763197950794,280946.8438339478,1.558567279767667,1.2082551594746718,0.6852813484293863
5278b5b9-Audio_SP15,H2,o,u,56640.194339809896,159343.5214985679,26672.849883869098,189310.8659545087,47.09173440304023,16.73921200750469,14.089444760280461
