audio,half,vowel_raw,vowel,f1,f2,token_time
5278b5b9-Audio_SP15,H1,i,i,381.7075094974565,2229.295800292261,10.59575
5278b5b9-Audio_SP15,H1,i,i,358.27241536752234,2263.405231698931,49.76275
5278b5b9-Audio_SP15,H1,i,i,320.183359649428,2303.1778965810604,60.91775
5278b5b9-Audio_SP15,H1,i,i,315.28909671125103,2226.6826899042017,63.83575
5278b5b9-Audio_SP15,H1,i,i,380.6678377950072,2099.538424396253,80.18575
5278b5b9-Audio_SP15,H1,i,i,334.05611365784824,2130.2045128315785,80.72375
5278b5b9-Audio_SP15,H1,i,i,342.68346890065806,2096.869262734492,93.47775
5278b5b9-Audio_SP15,H1,i,i,306.07467452519467,2127.731037365153,94.33775
5278b5b9-Audio_SP15,H1,i,i,308.99346216654203,2348.058217270702,94.98875
5278b5b9-Audio_SP15,H1,i,i,306.3548628459158,2116.060967001478,104.62775
5278b5b9-Audio_SP15,H1,i,i,242.4897424521876,2011.0351416781225,106.54575
5278b5b9-Audio_SP15,H1,i,i,319.137605550616,2126.0302071340902,108.77575
5278b5b9-Audio_SP15,H1,i,i,349.23088507318505,2272.9209985991247,109.10575
5278b5b9-Audio_SP15,H1,i,i,312.31278993287066,2279.146596355224,109.38275
5278b5b9-Audio_SP15,H1,i,i,315.3671291737705,2315.526225239686,112.04075
5278b5b9-Audio_SP15,H1,i,i,312.3757280076354,2378.977374259866,112.69775
5278b5b9-Audio_SP15,H1,i,i,354.39160237247955,2029.787527657408,113.83375
5278b5b9-Audio_SP15,H1,i,i,397.8167505216664,2250.4294352126344,114.18375
5278b5b9-Audio_SP15,H1,i,i,247.8307018478773,2270.7054258707008,116.57975
5278b5b9-Audio_SP15,H1,i,i,363.89970206605386,1862.3906140888184,117.72075
5278b5b9-Audio_SP15,H1,i,i,371.2142916304069,2108.78871598802,119.10375
5278b5b9-Audio_SP15,H1,i,i,385.4606677154339,2279.121156161428,136.65874999999997
5278b5b9-Audio_SP15,H1,i,i,338.78277244149547,2274.1234304378268,137.05575000000002
5278b5b9-Audio_SP15,H1,i,i,291.9710175324626,2408.748749624004,137.32775
5278b5b9-Audio_SP15,H1,i,i,270.15985840371513,2295.224810042799,138.94475
5278b5b9-Audio_SP15,H1,i,i,372.3208667433247,2102.468963329029,140.85275
5278b5b9-Audio_SP15,H1,i,i,299.6022980175888,2349.235643751841,141.25575
5278b5b9-Audio_SP15,H1,i,i,266.9363983980317,2349.307776375412,145.52575000000002
5278b5b9-Audio_SP15,H1,i,i,352.23728032040816,2089.4272041212475,150.73775
5278b5b9-Audio_SP15,H1,i,i,324.0139689710577,2264.001669392249,159.21775
5278b5b9-Audio_SP15,H1,i,i,351.37352190773805,1991.2813310096208,171.14575
5278b5b9-Audio_SP15,H1,i,i,315.7770517097713,2194.4362508801064,172.93574999999998
5278b5b9-Audio_SP15,H1,i,i,347.4278682316164,2124.696008094812,173.76575
5278b5b9-Audio_SP15,H1,i,i,327.0974912508012,2317.593980252896,176.40775
5278b5b9-Audio_SP15,H1,i,i,352.584410339978,2263.125118821907,179.38775
5278b5b9-Audio_SP15,H1,i,i,391.38583213515074,2291.5910604371984,199.44375
5278b5b9-Audio_SP15,H1,i,i,345.24424940259325,2085.070912325561,201.19575
5278b5b9-Audio_SP15,H1,i,i,396.7041006162768,2407.1849473717666,202.53375000000003
5278b5b9-Audio_SP15,H1,i,i,403.5689119486333,1899.0856695883533,215.35875
5278b5b9-Audio_SP15,H1,i,i,322.2933594248657,2487.5164403695503,216.10275
5278b5b9-Audio_SP15,H1,i,i,420.9466645996271,2119.474305927264,224.34575
5278b5b9-Audio_SP15,H1,i,i,310.30788937351394,2347.908558275657,226.32775
5278b5b9-Audio_SP15,H1,i,i,257.44333826679326,2235.91627848913,226.92375
5278b5b9-Audio_SP15,H1,i,i,335.4574333906199,2295.698355604084,227.76575
5278b5b9-Audio_SP15,H1,i,i,289.2383761706747,2292.880277194968,228.90075
5278b5b9-Audio_SP15,H1,i,i,321.63037994518106,2277.070760000243,229.81875
5278b5b9-Audio_SP15,H1,i,i,318.98024382468867,2243.961805640848,232.02075
5278b5b9-Audio_SP15,H1,i,i,410.3349207764216,2335.0580391598505,244.28875
5278b5b9-Audio_SP15,H1,i,i,354.69909484917,2091.4852202163725,254.16875
5278b5b9-Audio_SP15,H1,i,i,308.647014497754,2247.858458942376,257.19875
5278b5b9-Audio_SP15,H1,i,i,358.9509587565864,2225.1637628382987,265.02275000000003
5278b5b9-Audio_SP15,H1,i,i,291.0990078916949,2319.053215516759,265.16275
5278b5b9-Audio_SP15,H1,i,i,355.1541813119794,2247.9568279434216,287.34075
5278b5b9-Audio_SP15,H1,i,i,360.83763605326817,2500.753251266772,288.34275
5278b5b9-Audio_SP15,H1,i,i,424.82835200334847,2136.368217303096,289.19275000000005
5278b5b9-Audio_SP15,H1,i,i,327.5295219341493,2266.514433102446,291.08275000000003
5278b5b9-Audio_SP15,H1,i,i,290.6874500718821,2239.9115671036407,292.52275
5278b5b9-Audio_SP15,H1,i,i,410.0237602265931,1951.380252659636,293.75875
5278b5b9-Audio_SP15,H1,i,i,343.40201855549805,2273.978700995764,294.81775000000005
5278b5b9-Audio_SP15,H1,i,i,319.35411301467974,1948.7284612667213,309.36375
5278b5b9-Audio_SP15,H1,i,i,331.13007017046584,2002.498457826251,314.92375
5278b5b9-Audio_SP15,H1,i,i,329.9463594624565,2285.310736829102,345.15075
5278b5b9-Audio_SP15,H1,i,i,344.8214656327944,2169.8067676772584,347.28275
5278b5b9-Audio_SP15,H1,i,i,355.9532509638153,2386.6464498917376,348.27575
5278b5b9-Audio_SP15,H1,i,i,371.1191757125848,2187.4040680445933,350.03574999999995
5278b5b9-Audio_SP15,H1,i,i,332.2537916809062,2214.69237502417,363.66875
5278b5b9-Audio_SP15,H1,i,i,279.18881503617047,2118.644429561818,364.92575
5278b5b9-Audio_SP15,H1,i,i,320.2858922891722,2202.680734308482,365.98775
5278b5b9-Audio_SP15,H1,i,i,324.8501944536022,2108.653007396428,367.03275
5278b5b9-Audio_SP15,H1,i,i,329.13097479640106,2248.2108486206143,368.29375
5278b5b9-Audio_SP15,H1,i,i,294.31261190758204,2296.488882554758,371.43575
5278b5b9-Audio_SP15,H1,i,i,332.4354135270979,2213.286092871705,373.36275
5278b5b9-Audio_SP15,H1,i,i,359.78787239015367,2206.452522378897,392.26575
5278b5b9-Audio_SP15,H1,i,i,282.6778709379216,2313.2986910530703,392.66275
5278b5b9-Audio_SP15,H1,i,i,278.4738688088141,2246.749448753192,398.17375
5278b5b9-Audio_SP15,H1,i,i,284.19040210651764,2207.332910240329,398.51775
5278b5b9-Audio_SP15,H1,i,i,465.5125427044425,2174.60759049321,399.22575
5278b5b9-Audio_SP15,H1,i,i,342.0108794658168,2332.215176141393,400.22775
5278b5b9-Audio_SP15,H1,i,i,339.4549273527616,2278.4603243435304,400.81275
5278b5b9-Audio_SP15,H1,i,i,274.6346181149043,2317.576644122662,403.5627500000001
5278b5b9-Audio_SP15,H1,i,i,252.77748070479583,2383.2579733033426,404.12875
5278b5b9-Audio_SP15,H1,i,i,342.0002327766198,2230.111185513717,408.37375
5278b5b9-Audio_SP15,H1,i,i,319.2043366033771,2279.639103661056,409.40575
5278b5b9-Audio_SP15,H1,i,i,351.37943459053383,2206.771894140556,424.84875
5278b5b9-Audio_SP15,H1,i,i,312.1513025068726,2309.964562269881,436.74875
5278b5b9-Audio_SP15,H1,i,i,323.5647515202345,2216.5741873043817,437.17575
5278b5b9-Audio_SP15,H1,i,i,279.70452964215,2285.654993162725,439.8127500000001
5278b5b9-Audio_SP15,H1,i,i,327.3397812476127,2173.361892947045,443.59575
5278b5b9-Audio_SP15,H1,i,i,336.2633904830002,2269.273377844336,458.08275
5278b5b9-Audio_SP15,H1,i,i,326.502003055019,1907.669483097768,459.95875
5278b5b9-Audio_SP15,H1,i,i,334.2205537399714,2360.941807215122,464.33875
5278b5b9-Audio_SP15,H1,i,i,392.036737716947,2303.2203614351065,466.39275
5278b5b9-Audio_SP15,H1,i,i,308.1475627240928,2302.7479602691483,466.93375
5278b5b9-Audio_SP15,H1,i,i,372.4236294971263,1921.604879575577,480.87075
5278b5b9-Audio_SP15,H1,i,i,294.9708836145447,2243.74727063724,484.07275
5278b5b9-Audio_SP15,H1,i,i,360.5901179289482,2273.52125825782,488.25075
5278b5b9-Audio_SP15,H1,i,i,352.7873530007686,2323.416164934073,489.13075
5278b5b9-Audio_SP15,H1,i,i,343.9349993111716,1992.272408125828,489.38375
5278b5b9-Audio_SP15,H1,i,i,296.50427042329875,2276.338027919852,490.03275
5278b5b9-Audio_SP15,H1,i,i,338.04692451399995,2094.5546225400403,491.36375
5278b5b9-Audio_SP15,H1,i,i,305.1716913292055,2267.274390260758,491.85275
5278b5b9-Audio_SP15,H1,i,i,305.8260021448145,2232.57899978406,493.25375
5278b5b9-Audio_SP15,H1,i,i,335.40759962519616,2356.7292817125253,494.27975
5278b5b9-Audio_SP15,H1,i,i,349.579385341022,2157.5988859335257,510.39275
5278b5b9-Audio_SP15,H1,i,i,265.62714720462714,2281.624265323589,534.6927499999999
5278b5b9-Audio_SP15,H1,i,i,264.7742791277696,2348.27453861238,542.1187500000001
5278b5b9-Audio_SP15,H1,i,i,254.532421914775,2265.773535551725,546.61775
5278b5b9-Audio_SP15,H1,i,i,318.0695464500114,2346.063934330568,549.87475
5278b5b9-Audio_SP15,H1,i,i,321.04617772256387,2256.764689932762,550.66775
5278b5b9-Audio_SP15,H1,i,i,350.04914425420736,2246.592384496776,551.73275
5278b5b9-Audio_SP15,H1,i,i,341.6623439851139,2244.36282665828,555.0777499999999
5278b5b9-Audio_SP15,H1,i,i,320.1351253597549,2235.647519230018,563.33775
5278b5b9-Audio_SP15,H1,i,i,443.0845793408899,2178.7804598883663,563.5887500000001
5278b5b9-Audio_SP15,H1,i,i,332.10979407886805,2257.431376805686,578.67075
5278b5b9-Audio_SP15,H1,i,i,324.824971522356,2163.931702230156,579.3507500000001
5278b5b9-Audio_SP15,H1,i,i,330.6021920319018,2308.36750699613,582.07775
5278b5b9-Audio_SP15,H1,i,i,336.3747633381696,2268.4573275034645,593.0187500000001
5278b5b9-Audio_SP15,H1,i,i,344.56144496608835,2223.162153620471,595.3557500000001
5278b5b9-Audio_SP15,H1,i,i,331.8590815667827,1998.5072418837813,595.7257500000001
5278b5b9-Audio_SP15,H1,i,i,309.21568282801445,2257.8850926466066,600.0237500000001
5278b5b9-Audio_SP15,H1,i,i,278.5906864427693,2403.8458300593456,600.13775
5278b5b9-Audio_SP15,H1,i,i,277.99776849534953,2290.7960810008426,602.95375
