audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
5278b5b9-Audio_SP15,H1,i,60961.655819113774,19482.258642707657,31.958217638503246,41479.39717640611,68.04178236149674
5278b5b9-Audio_SP15,H1,e,56480.01088516862,25100.435835081356,44.44127301270158,31379.57505008726,55.558726987298414
5278b5b9-Audio_SP15,H1,a,115982.71394700887,29412.810007132906,25.359649732434498,86569.90393987596,74.64035026756551
5278b5b9-Audio_SP15,H1,o,78307.87865697347,56786.31035907134,72.51672671127125,21521.568297902122,27.483273288728764
5278b5b9-Audio_SP15,H1,u,92599.16726827701,36030.490745926036,38.91016713091923,56568.67652235098,61.08983286908077
5278b5b9-Audio_SP15,H2,i,48293.344208027505,16687.72114455921,34.55490900086665,31605.623063468294,65.44509099913334
5278b5b9-Audio_SP15,H2,e,56006.40772521897,25196.007489492124,44.987722856837834,30810.400235726844,55.012277143162166
5278b5b9-Audio_SP15,H2,a,123528.59865517497,23970.288093349296,19.404646660212972,99558.31056182567,80.59535333978702
5278b5b9-Audio_SP15,H2,o,56640.194339809896,46081.07017596484,81.35754248917978,10559.12416384506,18.642457510820222
5278b5b9-Audio_SP15,H2,u,159343.5214985679,33303.692861051524,20.900562851782365,126039.82863751636,79.09943714821763
