half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,431,385.3968757724276,2112.955810241423,392.3511519984006,2115.275797842963,83.37844897383711,200.2561488998007,71.17070590328939,234.7310181357143,170.86001390144665,138.5044938859863
H1,e,697,473.26591982608016,1870.134694626343,474.28266783258505,1880.38129823768,54.828578875012006,180.88213500087429,70.47816307614312,244.3651801944245,155.99808742568536,132.10181364057715
H1,a,739,638.7758021417364,1568.1318234555308,642.3936181863263,1569.7008925879347,77.3099131946171,137.52121551762255,94.86628774647238,165.31159511842543,132.15081561328412,113.18354432751498
H1,o,609,498.7662252875809,1151.4026477023488,507.9943483895754,1168.4097486672963,64.27429488252288,236.22144765663344,68.3694314524484,344.528242420934,202.33740614732827,183.7207153685195
H1,u,74,434.139382816593,983.9730350900772,437.5493853263549,1070.8735500705989,76.87646329854036,249.19458773266916,74.44404725579363,323.7304541570089,215.3690305678211,190.16828271687046
H2,i,308,410.1374429762324,2115.482143930672,412.36017943096726,2108.4701035672892,71.61656074321024,193.96431712315876,74.70423206324284,242.02720883663142,167.45732570227312,134.5966780522417
H2,e,524,484.51948971094714,1843.8065962098467,485.64151725428843,1859.3345550195593,52.34382667879073,171.8213450565128,64.92440048011201,228.09893228042029,146.62029671105907,118.30946659010064
H2,a,510,627.3570796692834,1516.7545994706356,634.1049884587239,1536.3993931282073,81.81085162096791,163.99425986692737,99.02237379805945,202.33469981749067,153.6720887821266,128.63468321733572
H2,o,452,512.8767698546814,1147.0246002516928,513.0086663242848,1173.7486963127853,50.56732200033622,226.3242150154657,62.8865684783309,320.7628808153022,190.9693241079269,168.61554116009285
H2,u,39,461.2544707431118,1162.0168607601763,451.7175186656111,1156.229850516643,50.313060752654884,317.5529027305102,56.38570975771876,356.5351105957094,243.3562685154699,195.38090210876516
