audio,half,vowel,ellipse_area_grid,overlap_area_with_any_other_vowel,overlap_percent_with_any_other_vowel,unique_area_not_overlapped,unique_percent_not_overlapped
5586979c-Audio_SP18,H1,i,110047.11008617688,37338.73424422684,33.9297726355442,72708.37584195004,66.0702273644558
5586979c-Audio_SP18,H1,e,91540.6002506164,42727.82990834205,46.67637069383794,48812.77034227434,53.323629306162054
5586979c-Audio_SP18,H1,a,92347.48407944683,9823.255420715506,10.637274549098196,82524.22865873133,89.3627254509018
5586979c-Audio_SP18,H1,o,122505.6925074762,82006.04638333563,66.94060064052209,40499.64612414056,33.05939935947791
5586979c-Audio_SP18,H1,u,171555.3461756457,77571.88662673534,45.2168284789644,93983.45954891037,54.78317152103559
5586979c-Audio_SP18,H2,i,117662.95746563413,35836.284516941836,30.45672596442135,81826.67294869228,69.54327403557865
5586979c-Audio_SP18,H2,e,81174.03511745676,56344.399430000594,69.4118499203245,24829.635687456168,30.588150079675497
5586979c-Audio_SP18,H2,a,118409.66921848919,26746.39184045421,22.588013307512785,91663.27737803498,77.4119866924872
5586979c-Audio_SP18,H2,o,109143.38793896494,87494.62672626931,80.16484404460486,21648.761212695623,19.83515595539514
5586979c-Audio_SP18,H2,u,160360.75864070083,92956.7938003036,57.96729485957323,67403.96484039724,42.03270514042678
