half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,465,396.9327172864091,2336.254941209424,408.4220636760769,2334.034401957365,83.76770312250432,319.7303156818656,98.2592498019402,375.2305941028176,256.4483885082021,205.97042545107868
H1,e,593,520.2964412547519,2100.9117539711247,536.6579438165522,2091.2754820790897,83.49327041846173,185.013897427242,82.49695779066309,255.65994974526802,172.2802359881245,149.72193199465718
H1,a,634,774.0444368329045,1702.5721570788314,770.6933475447149,1686.8738816458008,105.68282913711688,258.6105449779814,144.18209459784714,306.6608055534307,233.16821277413007,195.16877779538743
H1,o,454,542.108488926167,1115.3633905026081,559.185986952916,1179.9792650297552,85.17340055032555,281.6598957133116,82.36043292947818,295.46204751185155,224.62832763618724,159.6671091005201
H1,u,68,467.3463852036996,974.8576025177986,476.4695780552497,1087.6045507820436,90.00179367724304,366.5825373688253,80.79008851984844,413.497095286908,279.95625027763884,180.29794799089427
H2,i,382,398.62168144423435,2388.3110154902483,410.44330571044463,2381.1221253196873,79.5571534079622,261.9355696079772,99.98808660250825,334.0997582055861,224.7338255865728,184.91371390370705
H2,e,497,516.1597358145893,2107.3874925041564,533.6435585286249,2109.0650736604653,85.87548720173645,205.16724422120748,91.1457021383323,280.06042977368566,184.01554931929715,162.28515051624757
H2,a,516,766.7324011173921,1673.9423520459054,765.0163159654688,1669.5925043037414,93.5142578513545,219.3744468727318,132.58947728234375,217.74094024556894,194.55144445621977,155.50703657466204
H2,o,365,541.0221130301028,1124.8259373137969,561.5423155203331,1180.1093727442587,101.05264976947842,297.8619606132956,101.24356586294107,415.58273710143396,261.5322591525962,223.7766092932387
H2,u,76,450.4612253389644,972.7124290585575,481.717645373636,1082.548423017708,94.30817616332412,355.44666312314655,63.7122225718478,339.5114278536064,265.6407030548952,157.43915548173777
