half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,265.71605930168903,218.45623781501138,1.2163354178363963,True
H1,i,u,i-u,1363.2170767805862,268.45975307107926,5.0779197298138445,True
H1,e,a,e-a,472.2949075654371,204.99743310637558,2.303906446088804,True
H1,a,o,a-o,631.3544325300697,228.9380931877789,2.75775177358633,True
H1,o,u,o-u,159.15793605799624,253.80444011693947,0.6270888562259384,True
H2,i,e,i-e,304.5212964508162,205.38623950262442,1.482676235702368,True
H2,i,u,i-u,1416.547456394813,246.038894773037,5.757412695669653,True
H2,e,a,e-a,500.660913577067,189.35678880262552,2.6440082594499783,True
H2,a,o,a-o,593.69518363946,230.4879466669161,2.5758187888992903,True
H2,o,u,o-u,177.03048825872833,263.5944856184967,0.6716016378087156,True
