half,vowel,n_tokens,f1_centroid,f2_centroid,f1_mean,f2_mean,f1_sd,f2_sd,f1_iqr,f2_iqr,within_dispersion_mean,within_dispersion_median
H1,i,419,383.94438065620255,2130.3514054070856,391.6862766708777,2127.6209407268,93.54258073281815,304.24158709409454,109.26419599586478,482.65968563510796,274.1235794460967,254.73584400755794
H1,e,560,549.1815994320502,1822.394794171004,553.5393652252836,1845.2067162052374,98.40099751686223,170.5070583194683,122.54924310206127,195.8986065413401,165.84132747911363,146.1113414180331
H1,a,596,733.6337180607723,1662.8504528337444,743.27401246972,1658.561281750052,136.63410254008613,130.06171647837945,175.7071671978647,138.2049617934747,159.72657227400921,142.21736406416863
H1,o,452,574.3362153805804,1390.5496058920694,578.1165365977082,1336.742319602862,115.28925304004281,248.555578729657,154.16084347105442,354.05757562600047,239.8640654003529,210.96159905310344
H1,u,131,490.2829469606544,1199.5046661844838,493.00205282388714,1226.1879637880447,111.41443201033208,284.88274090377257,154.29050627551942,458.2122115701661,275.31025623122895,279.4307502455244
H2,i,389,386.381728291519,2113.113240946748,390.0016737585601,2115.015552321143,100.8037883039173,295.1400803257564,96.7086613933709,461.23533896578874,265.2668190671275,248.43563367586822
H2,e,481,534.0772333799117,1822.2011038079715,535.2866393454996,1845.1035926882694,101.93858645700625,186.85049167222866,122.19283015503555,221.10323714573656,175.95395773343262,150.17033143418047
H2,a,559,735.06684624091,1659.3639537965937,736.256482577195,1648.305222640819,133.07318689850226,133.00317295680307,162.80178019133223,160.7779906289602,161.09263517378113,144.00726842089222
H2,o,446,568.0547819981558,1352.2207926757987,574.4902278137731,1306.4270400137252,131.7170997981875,290.34213128272194,159.9515838717158,490.2845157626384,285.0888222678212,268.84983116900275
H2,u,81,471.6013735750675,1154.7496430125084,504.9249376193807,1221.7133862448977,119.3555275339721,365.8498349296318,164.85250622526365,540.4745403155536,316.32882927701064,270.4538689590278
