half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,349.486212707724,226.5469959063407,1.5426654028650593,True
H1,i,u,i-u,936.9010313822035,274.71755858922216,3.4104155416695687,True
H1,e,a,e-a,243.8790292734579,162.8126588911914,1.4979119617255534,True
H1,a,o,a-o,315.4733675055618,203.773584844539,1.548156341000919,True
H1,o,u,o-u,208.717802115553,258.19615320187256,0.8083691392271265,True
H2,i,e,i-e,326.2573121908011,225.08474019805382,1.4494865884898493,True
H2,i,u,i-u,962.1450897799745,291.9164379833348,3.2959606400613257,True
H2,e,a,e-a,258.67501213267957,168.68703617837906,1.5334611241799412,True
H2,a,o,a-o,349.61400290305943,231.54532352142883,1.5099160612963263,True
H2,o,u,o-u,219.76832106964986,301.11423481281776,0.7298503214445006,True
