half,vowel_1,vowel_2,pair,centroid_distance,pooled_within_dispersion,pairwise_separation_score,is_consecutive
H1,i,e,i-e,349.486212707724,226.5469959063407,1.5426654028650593,True
H1,i,a,i-a,583.8148450933982,224.33937984529686,2.6023734464096027,False
H1,i,o,i-o,763.908209993433,257.56407618175837,2.96589579306998,False
H1,i,u,i-u,936.9010313822035,274.71755858922216,3.4104155416695687,True
H1,e,a,e-a,243.8790292734579,162.8126588911914,1.4979119617255534,True
H1,e,o,e-o,432.57718541687615,206.2014982613116,2.09783725658815,False
H1,e,u,e-u,625.6685726532936,227.26535491154337,2.753031023566339,False
H1,a,o,a-o,315.4733675055618,203.773584844539,1.548156341000919,True
H1,a,u,a-u,523.3630821911726,225.06478520251588,2.325388584092551,False
H1,o,u,o-u,208.717802115553,258.19615320187256,0.8083691392271265,True
H2,i,e,i-e,326.2573121908011,225.08474019805382,1.4494865884898493,True
H2,i,a,i-a,572.2497069188014,219.4508172748795,2.6076444554864127,False
H2,i,o,i-o,782.280267090289,275.3562436917361,2.8409752275893885,False
H2,i,u,i-u,962.1450897799745,291.9164379833348,3.2959606400613257,True
H2,e,a,e-a,258.67501213267957,168.68703617837906,1.5334611241799412,True
H2,e,o,e-o,471.20692552423196,236.89178101414993,1.9891231494269783,False
H2,e,u,e-u,670.3690666911416,255.9528506129818,2.619111547637285,False
H2,a,o,a-o,349.61400290305943,231.54532352142883,1.5099160612963263,True
H2,a,u,a-u,569.2535972087776,251.01271415906118,2.267827743769402,False
H2,o,u,o-u,219.76832106964986,301.11423481281776,0.7298503214445006,True
